NAME,DESCRIPTION,CTRL,CIP,FDR,AveExpr,P value,CTRL1,CTRL2,CTRL3,CIP1,CIP2,CIP3,CTRL1 CPM,CTRL2 CPM,CTRL3 CPM,CIP1 CPM,CIP2 CPM,CIP3 CPM
dctA,C4-dicarboxylate transport protein,0,-1.42599856395776,0.000245435864957307,7.91526073767438,0.000014324711649983,11793,6646,5044,1789,2321,2467,306.330,395.142,403.787,132.122,191.941,159.497
,transcriptional regulator,0,1.12422945040337,0.000245435864957307,6.00729652492102,0.0000143055499413313,1389.67,695.776,551,1406,1263.95,1527.94,36.097,41.368,44.109,103.836,104.525,98.785
,hypothetical protein,0,1.69567223267521,0.000245482682621189,9.71811296823877,0.0000143709925962378,14682,7196,6215,26437,19824,21245,381.373,427.843,497.529,1952.429,1639.394,1373.536
rho,transcription termination factor Rho,0,-1.92964276822535,0.00024985023653016,9.77509454673987,0.0000146710002291082,47284,26167,25256,5357,5832,9491,1228.228,1555.776,2021.818,395.626,482.292,613.614
nirS,nitrite reductase,0,-1.53919204332369,0.000250988900886459,7.50441098254278,0.0000148269121864806,11379,5762,2985,1621,1144,2020,295.576,342.584,238.958,119.714,94.606,130.597
,major facilitator superfamily transporter,0,1.27177320135026,0.000250988900886459,3.98248834040174,0.000014807552329317,322,168,125,381,356,344,8.364,9.989,10.007,28.138,29.440,22.240
bkdB,branched-chain alpha-keto acid dehydrogenase complex lipoamide acyltransferase,0,2.06246309825446,0.000251481488887392,9.56859383610309,0.0000149006239645891,15118,7299,3147,23930,23279,20292,392.698,433.967,251.927,1767.282,1925.114,1311.922
,hypothetical protein,0,1.65960953777916,0.000252164085047818,10.1242836697037,0.0000149858024642574,24305,10208,6592,32239,24316,30881,631.336,606.923,527.709,2380.920,2010.871,1996.524
,hypothetical protein,0,1.09632332339684,0.000253693322776042,6.40565593854554,0.0000151701126573352,1802,950,733,1811,1618,2064,46.808,56.483,58.679,133.746,133.804,133.442
pilY2,type 4 fimbrial biogenesis protein PilY2,0,-1.66955316652691,0.000253693322776042,5.56947565615266,0.0000152116982611854,2905,1547,874,456,413,316,75.459,91.978,69.966,33.677,34.154,20.430
wzt,ABC transporter,0,1.19531423832268,0.000253693322776042,6.78217411221768,0.0000151525279003028,2208,1224,917,2699,2171,2503,57.354,72.774,73.409,199.327,179.536,161.824
,glutamate--cysteine ligase,0,1.78233132233273,0.00025996525057762,4.12085111283064,0.0000156338868096174,297,183,96,529,539,377,7.715,10.880,7.685,39.068,44.574,24.374
,hypothetical protein,0,1.4613465660811,0.00025999468798278,2.31159350619098,0.0000157476490048542,92,55,33,137,108,119,2.390,3.270,2.642,10.118,8.931,7.694
,hypothetical protein,0,-1.04584592531178,0.00025999468798278,5.52629475787062,0.0000157740257743677,1972,1199,790,475,437,504,51.224,71.287,63.242,35.080,36.139,32.585
,FeaR family transcriptional regulator,0,1.23933371976986,0.00025999468798278,4.67793532132468,0.000015731388542784,448,328,203,627,483,633,11.637,19.501,16.251,46.305,39.943,40.925
narK1,nitrite extrusion protein 1,0,-1.77628749129281,0.000262940996456831,5.69662067025537,0.0000159994255427875,3711,1824,852,386,483,369,96.395,108.447,68.205,28.507,39.943,23.857
,hypothetical protein,0,2.25438193025923,0.000263226602787126,3.12503619431497,0.0000160713238556597,121,71,47,361,300,201,3.143,4.221,3.762,26.661,24.809,12.995
motA,flagellar motor protein MotA,0,-1.22370556181808,0.000263226602787126,7.52644927694784,0.0000161101965516336,9042,4585,3470,1546,1760,2053,234.871,272.604,277.784,114.175,145.548,132.731
,hypothetical protein,0,-1.46343564385193,0.000263657895400244,5.92517968612283,0.0000164637024972681,2761,1642,1447,458,473,723,71.719,97.626,115.837,33.824,39.116,46.744
,hydrolase,0,-1.1957719979097,0.000263657895400244,4.42555990463566,0.0000164640019834816,1008,622,353,173,207,252,26.183,36.981,28.259,12.776,17.118,16.292
,enoyl-CoA hydratase,0,1.40227876929864,0.000263657895400244,7.33562790979966,0.0000162903655994445,3452,1708,1075,4502,2806,4538,89.668,101.550,86.057,332.482,232.049,293.392
glgB,"1,4-alpha-glucan branching protein GlgB",0,1.55663817722224,0.000263657895400244,6.01467104054542,0.000016400343210152,1308,697,379,1975,1571,1391,33.976,41.441,30.340,145.858,129.918,89.931
mreD,rod shape-determining protein MreD,0,-1.40449468394238,0.000263657895400244,4.57620983725189,0.0000162091580205077,1284,725,406,174,184,309,33.353,43.105,32.502,12.850,15.216,19.978
np20,transcriptional regulator,0,-1.22757070356886,0.000263657895400244,7.17601848713293,0.0000162864997849784,6814,3613,2821,1473,1307,1399,176.997,214.813,225.829,108.784,108.086,90.448
,D-methionine ABC transporter,0,-1.29522649318391,0.000263657895400244,6.01009445229955,0.0000164567695541622,3427,1781,1092,497,536,824,89.018,105.891,87.418,36.705,44.326,53.273
,hypothetical protein,0,1.69437863506741,0.000263941914740652,8.3483050844331,0.0000165285605647419,5884,3924,1672,9410,6222,10852,152.840,233.304,133.849,694.949,514.544,701.606
thrS,threonine--tRNA ligase,0,-1.54087653420414,0.000267043669070618,9.36134696192381,0.0000167701718735141,36114,19971,12614,4674,4973,7840,938.081,1187.389,1009.788,345.185,411.254,506.873
,hypothetical protein,0,-1.1853007828434,0.000269096345713798,4.09251116559486,0.0000169468161661164,785,418,335,151,148,203,20.391,24.852,26.818,11.152,12.239,13.124
,pili assembly chaperone,0,1.35761667731511,0.000270924882221359,2.85892590417676,0.0000171100333636338,152,89,42,157,172,189,3.948,5.292,3.362,11.595,14.224,12.219
,ABC transporter ATP-binding protein,0,-1.3441161355755,0.000270970257817806,5.80803593658901,0.0000171609689623836,3375,1573,872,460,439,675,87.668,93.524,69.806,33.972,36.304,43.640
,hypothetical protein,0,1.24541380764814,0.000271542037959907,6.75205623591201,0.0000172453520648655,2018,1181,924,2686,1975,2745,52.419,70.217,73.969,198.367,163.327,177.470
,hypothetical protein,0,1.45618356789159,0.000272192819765027,3.74894287354172,0.000017355338136323,292,163,69,338,270,397,7.585,9.691,5.524,24.962,22.328,25.667
,hypothetical protein,0,-1.75510763619252,0.000272192819765027,3.36629143045625,0.0000173832561851002,648,366,180,99,85,67,16.832,21.761,14.410,7.311,7.029,4.332
,cytochrome C,0,-1.24684259763113,0.000273621138377049,6.80934673237471,0.0000175715543893013,5521,2649,2265,951,1051,1229,143.411,157.498,181.320,70.233,86.915,79.458
nusB,transcription antitermination protein NusB,0,-1.24709018248019,0.000273621138377049,6.98687835663205,0.0000175308531522119,6244,3828,2024,1103,1005,1588,162.191,227.596,162.027,81.459,83.111,102.668
,phosphonates ABC transporter permease,0,1.29130489460985,0.000276105289870319,4.99610971562718,0.0000177800639033042,637,301,286,711,693,796,16.546,17.896,22.895,52.509,57.309,51.463
,hypothetical protein,0,1.09653913842078,0.000277045632373772,3.42534411512126,0.0000178897658655407,229,126,88,234,209,249,5.948,7.491,7.045,17.281,17.284,16.098
phzF2,"trans-2,3-dihydro-3-hydroxyanthranilate isomerase",0,2.09148363504145,0.000278311724989977,2.64070474733652,0.0000180702663378272,106.5,64,23.5,228,198.5,159.5,2.766,3.805,1.881,16.838,16.415,10.312
phzF1,"trans-2,3-dihydro-3-hydroxyanthranilate isomerase",0,2.09148363504145,0.000278311724989977,2.64070474733652,0.0000180702663378272,106.5,64,23.5,228,198.5,159.5,2.766,3.805,1.881,16.838,16.415,10.312
carA,carbamoyl phosphate synthase small subunit,0,-1.50979384518055,0.000281873821910534,9.10061718183711,0.0000183515509386493,32640,17818,9025,4057,4976,5290,847.842,1059.381,722.478,299.618,411.503,342.010
,hypothetical protein,0,2.25399573455471,0.00028252409394991,9.73485790730107,0.0000184440068429248,9013,8284,5012,38219,25976,21098,234.118,492.531,401.226,2822.556,2148.149,1364.032
putP,sodium/proline symporter PutP,0,-1.50967550917343,0.00028771500752299,7.00978855843893,0.0000189184237590331,7866,4167,2064,1017,866,1572,204.324,247.752,165.229,75.108,71.616,101.633
amiR,aliphatic amidase regulator,0,1.3015091733925,0.00028771500752299,4.63943148636748,0.0000188661721014763,438,279,212,632,538,553,11.377,16.588,16.971,46.675,44.491,35.753
,histidine/phenylalanine ammonia-lyase,0,1.54521814475585,0.00028771500752299,6.07874559411945,0.0000189360063493044,1284,801,388,2177,1432,1565,33.353,47.624,31.061,160.776,118.423,101.181
,short-chain dehydrogenase,0,1.38344522978297,0.000287832092711037,7.08038067443697,0.0000189947735477214,2346,1455,1109,3610,3112,2955,60.939,86.508,88.779,266.606,257.354,191.047
,hypothetical protein,0,-1.17970358723918,0.000290826852957776,5.87090577055459,0.0000192439978983946,3003,1743,846,548,523,646,78.005,103.631,67.725,40.471,43.251,41.765
,transcriptional regulator,0,1.61857721445057,0.000291494030712807,4.45589891061565,0.0000193398558606688,325,191,209,578,504,600,8.442,11.356,16.731,42.687,41.680,38.791
atuE,isohexenylglutaconyl-CoA hydratase,0,1.93449989964643,0.000291926786572565,2.3702450726913,0.0000195239309096784,72,75,21,146,135,167,1.870,4.459,1.681,10.782,11.164,10.797
nosY,membrane protein NosY,0,-1.68772953096458,0.000291926786572565,1.6850704900723,0.0000194949304712097,203,102,58,25,20,35,5.273,6.064,4.643,1.846,1.654,2.263
aceE,pyruvate dehydrogenase subunit E1,0,-1.54220796199905,0.000291926786572565,9.92720962775441,0.0000194549163417484,61741,31341,15667,7570,7517,10112,1603.757,1863.400,1254.190,559.061,621.637,653.763
,molecular chaperone LolB,0,-1.05158314535524,0.000295907175331608,5.77949647139627,0.000019842631235648,2376,1530,876,527,489,683,61.718,90.967,70.126,38.920,40.439,44.157
clpB,chaperone protein ClpB,0,1.95544531689167,0.000296196720603464,10.3830983799764,0.0000199145923556347,25967,13121,6130,47610,33926,34436,674.507,780.118,490.725,3516.101,2805.594,2226.363
alc,allantoicase,0,1.25120994332529,0.000298232876665162,5.09182431701466,0.0000201573045963148,694,371,270,898,702,731,18.027,22.058,21.614,66.319,58.054,47.261
,tRNA-Arg,0,1.70393382926249,0.000298232876665162,6.01216922673925,0.0000201365722188501,946,529,589,1912,1418,1847,24.573,31.452,47.151,141.205,117.265,119.413
nirQ,denitrification regulatory protein NirQ,0,1.23811286742947,0.000301423290127455,5.68687060090204,0.0000204264141970353,1107,618,355,1351,1044,1113,28.755,36.744,28.419,99.774,86.336,71.958
fabA,3-hydroxydecanoyl-ACP dehydratase,0,-1.57353219063225,0.000301861358074301,8.82768941555808,0.0000205325879480634,22559,11528,11665,3548,3966,4220,585.983,685.405,933.818,262.027,327.978,272.832
,ABC transporter ATP-binding protein,0,1.46350155302659,0.000301861358074301,3.93228131653748,0.0000205632005500322,268,151,125,434,349,334,6.961,8.978,10.007,32.052,28.861,21.594
fleS,two-component sensor,0,-1.29649730976409,0.000306564367870131,7.20027535062757,0.0000209379601969133,7947,4650,2176,1221,1338,1575,206.428,276.469,174.195,90.173,110.649,101.827
lldA,L-lactate dehydrogenase,0,-1.03866997521395,0.000307817053821405,4.98787991961919,0.0000210781236074264,1380,885,496,329,278,375,35.846,52.618,39.706,24.297,22.990,24.245
liuE,3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy- methylglutaryl-CoA lyase,0,1.73215968474992,0.000308162805669321,8.26064128632531,0.0000212079519933401,6158,3529,1453,8926,8027,7529,159.957,209.819,116.317,659.204,663.813,486.766
,hypothetical protein,0,-1.49576347936949,0.000308162805669321,6.94896195674615,0.0000212111351072728,7003,3642,2274,845,924,1606,181.907,216.538,182.040,62.405,76.412,103.831
rnt,ribonuclease T,0,-1.14701250523156,0.000312513579816691,7.06409077266784,0.0000216769220699532,6104,3419,2428,1127,1274,1614,158.555,203.279,194.369,83.231,105.357,104.349
rpmD,50S ribosomal protein L30,0,-1.3367968450045,0.000312513579816691,8.05565743409167,0.0000216379114991652,13492,7588,4760,2327,1903,3365,350.462,451.150,381.052,171.854,157.373,217.555
,hypothetical protein,0,-1.22515397221621,0.000312513579816691,4.85731054688242,0.0000215829393332114,1265,835,531,230,252,371,32.859,49.645,42.508,16.986,20.840,23.986
,chemotaxis transducer,0,-1.12112831828893,0.000315047214063637,5.52608775511501,0.0000219971304482101,2329,1257,693,402,436,549,60.497,74.736,55.477,29.689,36.056,35.494
,iron ABC transporter substrate-binding protein,0,1.97243834136317,0.000315047214063637,5.84683243655578,0.0000220203303780509,1029,558,273,1338,1189,2973,26.729,33.176,21.854,98.814,98.327,192.211
,hypothetical protein,0,1.05496675828649,0.000315047214063637,5.73981877524813,0.0000220086670499382,1112,657,449,1225,957,1236,28.885,39.062,35.944,90.469,79.141,79.910
nosR,regulatory protein NosR,0,-1.18343235961658,0.000315425996595991,4.50576657144611,0.0000221664255729909,1072,546,442,189,209,273,27.846,32.463,35.383,13.958,17.284,17.650
opmD,hypothetical protein,0,1.6334124628809,0.000315425996595991,4.66672620916169,0.0000223265873056236,499,310,122,788,596,615,12.962,18.431,9.766,58.195,49.288,39.761
,oxidoreductase,0,1.04635072772881,0.000315425996595991,4.90458720608627,0.0000223177303840406,632,390,236,620,521,782,16.417,23.188,18.893,45.788,43.085,50.558
,beta-ketoacyl synthase,0,-1.28631299387151,0.000315425996595991,9.27775336237283,0.0000221217849839843,30919,17325,11016,5385,5856,6293,803.138,1030.069,881.864,397.694,484.276,406.856
argH,argininosuccinate lyase,0,-1.14451582436542,0.000315425996595991,8.04173697754157,0.0000222222552754554,13019,7413,4065,2466,2331,3039,338.176,440.745,325.415,182.119,192.768,196.478
sdhD,succinate dehydrogenase subunit D,0,-1.49831384534542,0.00031681974164331,8.06313546419977,0.0000225938506547118,14313,7817,5219,1896,1964,3445,371.788,464.765,417.797,140.024,162.418,222.727
,hypothetical protein,0,0.970772787114303,0.00031681974164331,5.79842425658036,0.0000225867056157734,1263,683,469,1122,1044,1280,32.807,40.608,37.545,82.862,86.336,82.755
hslU,ATP-dependent protease ATP-binding subunit HslU,0,1.44347259885894,0.00031681974164331,7.93622810319501,0.0000225129575079086,5775,2772,1349,5930,5276,6540,150.009,164.811,107.991,437.943,436.312,422.825
capB,major cold shock protein CspA,0,-2.43303284160896,0.000317042069617133,12.0049823080858,0.0000226659489188761,284924,114560,166678,20715,23961,36570,7401.060,6811.241,13343.071,1529.847,1981.514,2364.330
kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,0,-1.44380644271323,0.000317126711337348,8.14293743400164,0.0000227282581834821,16367,8553,4734,2247,1990,3523,425.142,508.524,378.971,165.946,164.568,227.770
,hypothetical protein,0,-1.58638306793401,0.000318136880854986,5.49644885860764,0.0000228570936218324,2484.44,1683.88,739.876,301.975,326.743,564.741,64.535,100.116,59.229,22.302,27.021,36.512
fliC,B-type flagellin,0,-2.05413750089491,0.00031816068647014,13.178523720669,0.0000229152454686672,685808,339613,190808,76253,63591,60362,17814.245,20191.916,15274.750,5631.449,5258.814,3902.535
,hypothetical protein,0,2.20533550635653,0.000320681304485611,2.48717810303087,0.0000232105680734663,108,46,20,217,190,148,2.805,2.735,1.601,16.026,15.713,9.569
,hypothetical protein,0,1.84441288678867,0.000320681304485611,7.45034909196817,0.0000232001433692487,4046,1198,1065,4510,5290,4754,105.097,71.228,85.256,333.073,437.470,307.356
,transporter,0,1.71881209231875,0.000323126451994384,3.66160905034635,0.0000235047827630444,219,155,62,362,374,290,5.689,9.216,4.963,26.734,30.929,18.749
,hypothetical protein,0,1.33223067207738,0.000323126451994384,8.02697794621908,0.000023559512465796,5676,3019,1698,6678,5896,5626,147.437,179.497,135.930,493.185,487.584,363.733
,hypothetical protein,0,2.28908125179652,0.000323126451994384,0.351635349479751,0.0000234990289502386,16,10,7,33,32,62,0.416,0.595,0.560,2.437,2.646,4.008
,transcriptional regulator,0,1.22090093132428,0.000324278703970058,4.86735205227486,0.0000237952314117835,638,376,186,705,620,645,16.572,22.355,14.890,52.066,51.272,41.701
cysM,cysteine synthase B,0,-1.24190898127886,0.000324278703970058,6.88499382372183,0.0000237307544791228,5339,3344,2154,930,1024,1522,138.684,198.820,172.434,68.683,84.682,98.401
ambC,protein AmbC,0,1.46563105605647,0.000324278703970058,3.63728600650951,0.0000238161049216966,250,149,70,370,268,289,6.494,8.859,5.604,27.325,22.163,18.684
,hypothetical protein,0,1.63887528742332,0.000325928915970652,3.06898432601743,0.0000239951215412135,161,81,51,258,222,183,4.182,4.816,4.083,19.054,18.359,11.831
,hypothetical protein,0,1.05809344722524,0.000330862999830032,4.70922455485248,0.0000244170672218012,601,327,194,590,508,570,15.611,19.442,15.530,43.573,42.010,36.852
,hypothetical protein,0,1.46921917298736,0.000331166507553116,7.59905471860745,0.0000245505092538557,3761,1885,1427,4840,3280,6768,97.694,112.074,114.236,357.444,271.248,437.566
,transcriptional regulator,0,1.38915301922432,0.000331166507553116,5.43413364560797,0.0000245569629514285,944,514,252,1241,851,1031,24.521,30.560,20.173,91.651,70.376,66.656
aprI,alkaline proteinase inhibitor AprI,0,1.15918146876752,0.000336551668390472,3.74246948689817,0.0000250756964207909,310,139,106,310,266,308,8.052,8.264,8.486,22.894,21.998,19.913
nusA,transcription elongation factor NusA,0,-1.65864501591848,0.000336551668390472,9.59837990709951,0.0000250501682947778,50894,25428,13267,5435,5237,9092,1322.000,1511.839,1062.063,401.386,433.087,587.818
hemE,uroporphyrinogen decarboxylase,0,-1.08144376627816,0.000336740279955538,6.20781785284292,0.000025149486936541,3269,2083,1176,665,662,945,84.914,123.846,94.142,49.112,54.746,61.096
,hypothetical protein,0,-1.84229946992335,0.000338429004519773,8.0913363835565,0.0000253356466041058,22146,10464,4047,2291,1960,2000,575.255,622.144,323.974,169.195,162.087,129.304
,CDP-alcohol phosphatidyltransferase,0,-1.22409407105063,0.000339538994588337,7.51731018165334,0.0000254789772415942,7761,4653,3838,1615,1649,2096,201.596,276.647,307.243,119.271,136.368,135.511
,chemotaxis response regulator protein-glutamate methylesterase,0,-1.3151057169834,0.00034317680439816,3.99643557402226,0.0000258650794739018,663,431,361,144,130,173,17.222,25.625,28.899,10.635,10.751,11.185
,protease,0,-1.40703643241824,0.00034317680439816,4.70746102052148,0.0000258737168474753,1440,908,379,202,239,270,37.405,53.986,30.340,14.918,19.765,17.456
,hypothetical protein,0,1.00919444360975,0.000343848474386083,4.70510008120109,0.0000259853557013431,539,348,213,557,497,579,14.001,20.691,17.051,41.136,41.101,37.434
pheS,phenylalanine--tRNA ligase subunit alpha,0,-1.37247168417693,0.000343850628649466,7.86583264148993,0.0000260465173733053,13570,6843,3742,1856,1761,2903,352.488,406.855,299.558,137.070,145.630,187.685
tatB,sec-independent translocase,0,-1.12057539218291,0.000344238795775965,5.8349984958833,0.0000261369885740843,2789,1685,821,532,522,659,72.446,100.183,65.723,39.289,43.168,42.606
bkdA2,2-oxoisovalerate dehydrogenase subunit beta,0,2.32057179233862,0.000349493524978678,8.92455338838565,0.0000266599637645612,9736,4445,1623,17558,16166,13517,252.898,264.280,129.926,1296.696,1336.887,873.904
gidB,16S rRNA methyltransferase GidB,0,-1.05935807335725,0.000349493524978678,6.14017133277139,0.0000266025804976002,3265,1898,1100,677,598,911,84.810,112.847,88.058,49.998,49.453,58.898
,transcriptional regulator,0,1.35407574427143,0.000350738329352381,7.86891898488956,0.0000268793610573406,4586,2365,1850,6615,4173,6030,119.124,140.613,148.098,488.532,345.096,389.853
dut,deoxyuridine 5'-triphosphate nucleotidohydrolase,0,-1.54760415373653,0.000350738329352381,5.39092673574663,0.0000268499602617417,2689,1527,584,343,310,436,69.848,90.789,46.751,25.331,25.636,28.188
,hypothetical protein,0,-1.00059521028987,0.000356987690151555,4.77803801535898,0.000027468231181886,1178,670,477,292,242,326,30.599,39.835,38.185,21.565,20.013,21.077
wbpX,glycosyltransferase WbpX,0,1.2309535415623,0.000356987690151555,5.86767632519503,0.0000274849490022662,1091,654,500,1474,1232,1249,28.339,38.884,40.026,108.858,101.883,80.751
,hypothetical protein,0,1.53565653203385,0.000357461689449331,3.9838714820878,0.0000276482697533986,265,146,136,390,438,353,6.884,8.681,10.887,28.802,36.221,22.822
,hypothetical protein,0,1.27467607450519,0.000357461689449331,7.18827495353431,0.0000275920084302943,3010,1737,1023,3719,3322,2979,78.186,103.274,81.894,274.656,274.721,192.599
,pyocin protein,0,-1.5152767361024,0.000361707647964811,2.14586145326075,0.0000280408448040842,229.017,126,95.0417,34,29,54.0128,5.949,7.491,7.608,2.511,2.398,3.492
ksgA,ribosomal RNA small subunit methyltransferase A,0,-1.18010614309043,0.0003635014755489,5.783615626498,0.0000284132069918041,2744,1469,914,461,453,741,71.277,87.340,73.168,34.046,37.462,47.907
,hypothetical protein,0,-2.81498683889961,0.0003635014755489,1.36698691179626,0.0000284703981076891,274,93,81,11,8,29,7.117,5.529,6.484,0.812,0.662,1.875
,acyl-CoA dehydrogenase,0,1.44476487706167,0.0003635014755489,6.67931500889585,0.0000285023331901036,2314,1210,553,2649,1888,3059,60.107,71.941,44.269,195.634,156.133,197.771
,hypothetical protein,0,1.83159234001394,0.0003635014755489,6.64224504072732,0.0000283759864136992,1429,757,883,3399,2387,2620,37.119,45.008,70.687,251.023,197.399,169.389
pfeA,ferric enterobactin receptor,0,1.08859150048616,0.0003635014755489,4.08627322142003,0.0000284100451664759,373,208,130,387,348,358,9.689,12.367,10.407,28.581,28.779,23.145
,hypothetical protein,0,-1.30598077562183,0.000366743500263986,3.15454237476275,0.0000288216020253585,400,236,189,91,66,93,10.390,14.032,15.130,6.721,5.458,6.013
rbsC,ribose ABC transporter permease,0,1.40308433640778,0.000367610296258935,5.37856698658583,0.0000289933504189011,858,495,253,1030,1096,871,22.287,29.431,20.253,76.068,90.636,56.312
fabF1,3-oxoacyl-ACP synthase,0,-1.25004223402295,0.000367610296258935,8.67902446475112,0.0000290201493410016,22187,11611,6422,3542,3407,4862,576.320,690.340,514.100,261.584,281.750,314.339
,hypothetical protein,0,1.40848410334353,0.000368089139623364,5.35885204992415,0.0000291801681708739,777,486,272,1194,946,839,20.183,28.895,21.774,88.179,78.232,54.243
rplW,50S ribosomal protein L23,0,-1.54117250479299,0.000368089139623364,8.69314367147002,0.000029188548059543,24346,12349,7595,3180,2694,5262,632.401,734.218,608.002,234.850,222.787,340.200
,ferredoxin,0,1.05674216390314,0.000368409145965813,5.27466492387608,0.0000292792792962009,938,463,286,784,816,863,24.365,27.528,22.895,57.900,67.481,55.795
,hypothetical protein,0,1.21938225822986,0.000370437178359601,4.0706146387437,0.0000295061722695513,328,235,110,412,336,388,8.520,13.972,8.806,30.427,27.786,25.085
,hypothetical protein,0,-1.47369395402074,0.000371377766189959,2.63078479698961,0.0000297128565818115,288,185,136,46,44,76,7.481,10.999,10.887,3.397,3.639,4.914
,aminotransferase,0,-1.06527452241852,0.000371377766189959,7.4006800121252,0.000029693646752645,7795,4393,2756,1828,1415,1951,202.479,261.189,220.626,135.002,117.017,126.136
glgP,glycogen phosphorylase,0,1.1904744212516,0.000372232878262014,6.72814087716187,0.0000298473054771031,2185,1242,823,2557,2361,2153,56.757,73.844,65.884,188.840,195.249,139.196
,hypothetical protein,0,-1.85251355627468,0.00037399138869517,1.23535594657759,0.000030054656568904,153,78,46,13,22,20,3.974,4.638,3.682,0.960,1.819,1.293
,bacteriophage protein,0,-1.38357319676399,0.000375503648337208,2.5164376837392,0.0000302427987129843,310,169,96,43,45,71,8.052,10.048,7.685,3.176,3.721,4.590
,hypothetical protein,0,-1.04328566218895,0.000378581415096515,5.43925034327917,0.0000305578399625535,1859,1095,764,386,409,554,48.289,65.104,61.160,28.507,33.823,35.817
,hypothetical protein,0,-0.964533576027195,0.000379891667510117,6.70384074678509,0.0000307309917304619,4637,2616,1644,1111,986,1201,120.449,155.536,131.607,82.050,81.540,77.647
,hypothetical protein,0,1.25392125995915,0.000380558320913324,5.39237879113128,0.0000309199416317727,980,535,246,944,920,999,25.456,31.809,19.693,69.716,76.082,64.588
,hypothetical protein,0,-1.36965543217098,0.000380558320913324,3.46523296655498,0.0000308668345926425,595,327,186,85,80,148,15.455,19.442,14.890,6.277,6.616,9.569
,5S ribosomal RNA,0,-1.60504133399142,0.000381281725553489,3.61293229138385,0.0000312492739410523,671.162,287.922,325.968,106.798,85,117.928,17.434,17.119,26.095,7.887,7.029,7.624
,hypothetical protein,0,1.7839921208643,0.000381281725553489,3.78963192903546,0.0000312127644676824,254,161,62,414,426,315,6.598,9.572,4.963,30.575,35.229,20.365
,hypothetical protein,0,1.56869133373644,0.000381281725553489,3.63294727629716,0.0000312377858073788,214,99,117,283,256,409,5.559,5.886,9.366,20.900,21.171,26.443
,hypothetical protein,0,1.07820153527618,0.000381281725553489,3.97630693575374,0.0000310598153764774,376,194,110,321,289,413,9.767,11.534,8.806,23.707,23.900,26.701
,hypothetical protein,0,1.21658519302957,0.000381788339563628,4.792195073744,0.0000313833957698185,480,365,221,697,537,635,12.468,21.701,17.692,51.475,44.409,41.054
,transcriptional regulator,0,1.40609038108376,0.000381788339563628,5.503471560133,0.0000314262532477423,953,505,289,1393,933,983,24.755,30.025,23.135,102.876,77.157,63.553
,hypothetical protein,0,1.09742159826477,0.000382244976942787,6.10406683601447,0.0000315316505727152,1437,821,567,1601,1137,1777,37.327,48.813,45.390,118.237,94.027,114.887
,phosphoglycolate phosphatase,0,-1.50913302513776,0.000383253245042922,5.30744662435913,0.0000316828121678201,2485,1387,561,287,333,425,64.549,82.465,44.910,21.196,27.538,27.477
,hypothetical protein,0,1.73892910112248,0.000383487047966339,8.35584881811632,0.0000317701705517616,4806,2645,2863,9848,8255,8555,124.839,157.260,229.192,727.296,682.668,553.099
oprE,anaerobically-induced outer membrane porin OprE,0,-1.27185805614229,0.000386316371854829,8.65988433662033,0.0000325723595660077,21931,11709,6333,3934,3038,4612,569.670,696.166,506.976,290.534,251.235,298.176
vfr,cAMP-regulatory protein,0,-1.53544560467469,0.000386316371854829,8.96571029246853,0.0000327584221654441,23525,12416,13166,4136,3784,5314,611.075,738.202,1053.978,305.453,312.927,343.562
flgI,flagellar basal body P-ring protein,0,-1.2642434738924,0.000386316371854829,6.53193150619162,0.0000322697539408209,5039,2916,1313,815,869,939,130.891,173.373,105.110,60.190,71.864,60.708
,hypothetical protein,0,-1.05603330750581,0.000386316371854829,5.32903491291435,0.0000321886213555571,1612,1154,673,399,347,496,41.873,68.612,53.876,29.467,28.696,32.067
,transporter,0,1.26242444268868,0.000386316371854829,5.05018807299136,0.0000326955774191978,768,411,198,650,778,852,19.949,24.436,15.850,48.004,64.339,55.084
,acyltransferase,0,1.27031727476558,0.000386316371854829,5.58822569812342,0.0000321633875341881,872,482,456,1138,992,1169,22.651,28.658,36.504,84.044,82.036,75.578
,hypothetical protein,0,1.76207347094414,0.000386316371854829,7.56630720637258,0.0000326796444916419,3775,2167,876,6124,4990,4331,98.058,128.840,70.126,452.271,412.660,280.009
fimU,type 4 fimbrial biogenesis protein FimU,0,-1.75136516902665,0.000386316371854829,6.84812078362796,0.0000326553744693574,5467,3185,3392,891,1065,853,142.008,189.366,271.540,65.802,88.073,55.148
,chemotaxis transducer,0,-1.37720398057428,0.000386316371854829,8.58303792847297,0.0000326031585605598,22107.6,10871.8,6475.85,3756.28,3466.81,3212.61,574.257,646.390,518.411,277.409,286.696,207.702
,glutamine synthetase,0,1.80925240662043,0.000386316371854829,4.09186099631548,0.0000323705308324842,305,202,76,517,308,666,7.923,12.010,6.084,38.182,25.471,43.058
,inner membrane protein translocase subunit YidC,0,-1.552815360207,0.000386316371854829,8.66779442497203,0.0000324378263255337,24835,12398,7167,2905,2795,5170,645.103,737.131,573.740,214.541,231.139,334.252
desA,delta-9 fatty acid desaturase DesA,0,-1.2043191282418,0.0003865401622565,8.80468102409214,0.0000328459708569919,20006,12407,8085,3953,4416,4673,519.667,737.666,647.228,291.938,365.192,302.120
