id	type	name	version	description
b0939	CDS	elfD		putative fimbrial chaperone ElfD
b0940	CDS	elfC		putative fimbrial usher protein ElfC
b0941	CDS	elfG		putative fimbrial-like adhesin protein
b0942	CDS	ycbU		putative fimbrial protein YcbU
b0943	CDS	ycbV		putative fimbrial protein YcbV
b0944	CDS	ycbF		putative fimbrial chaperone YcbF
b0945	CDS	pyrD	1.3.5.2	dihydroorotate dehydrogenase, type 2
b0946	CDS	zapC		cell division protein ZapC
b0947	CDS	ycbX		6-N-hydroxylaminopurine resistance protein
b0948	CDS	rlmL	2.1.1.173	fused 23S rRNA m(2)G2445 methyltransferase and 23S rRNA m(7)G2069 methyltransferase
b0949	CDS	uup		ATP-binding protein Uup
b0950	CDS	pqiA		intermembrane transport protein PqiA
b0951	CDS	pqiB		intermembrane transport protein PqiB
b0952	CDS	pqiC		intermembrane transport lipoprotein PqiC
b0953	CDS	rmf		ribosome modulation factor
b0954	CDS	fabA	4.2.1.59	beta-hydroxyacyl-acyl carrier protein dehydratase/isomerase
b0955	CDS	ycbZ		putative ATP-dependent protease YcbZ
b0956	CDS	matP		macrodomain Ter protein
b0957	CDS	ompA		outer membrane protein A
b0958	CDS	sulA		cell division inhibitor SulA
b0959	CDS	sxy		transcriptional coactivator for CRP
b0960	CDS	yccS		putative transporter YccS
b0961	CDS	yccF		PF03733 family inner membrane protein YccF
b0962	CDS	helD		DNA helicase IV
b0963	CDS	mgsA	4.2.3.3	methylglyoxal synthase
b0964	CDS	yccT		DUF2057 domain-containing protein YccT
b0965	CDS	yccU		putative HspQ acetyl donor
b0966	CDS	hspQ		heat shock protein HspQ
b0967	CDS	rlmI	2.1.1.191	23S rRNA m(5)C1962 methyltransferase
b0968	CDS	yccX	3.6.1.7	acylphosphatase
b0969	CDS	tusE		sulfur transfer protein TusE
b0970	CDS	yccA		modulator of FtsH protease
b0971	tRNA	serT		tRNA-Ser
b0972	CDS	hyaA	1.12.5.1	hydrogenase 1 small subunit
b0973	CDS	hyaB	1.12.5.1	hydrogenase 1 large subunit
b0974	CDS	hyaC	1.12.5.1	hydrogenase 1 cytochrome b subunit
b0975	CDS	hyaD		putative hydrogenase 1 maturation protease HyaD
b0976	CDS	hyaE		putative HyaA chaperone
b0977	CDS	hyaF		protein HyaF
b0978	CDS	appC	7.1.1.7	cytochrome bd-II ubiquinol oxidase subunit I
b0979	CDS	appB	7.1.1.7	cytochrome bd-II ubiquinol oxidase subunit II
b4592	CDS	appX		small protein AppX
b0980	CDS	appA	3.1.3.62	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase
b0981	CDS	etk		protein-tyrosine kinase Etk
b0982	CDS	etp	3.1.3.48	phosphotyrosine-protein phosphatase Etp
b0983	CDS	gfcE		putative exopolysaccharide export lipoprotein GfcE
b0984	CDS	gfcD		putative lipoprotein GfcD
b0985	CDS	gfcC		capsule biosynthesis GfcC family protein
b0986	CDS	gfcB		lipoprotein GfcB
b0987	CDS	gfcA		threonine-rich inner membrane protein GfcA
b4516	CDS	insA4		IS1 protein InsA
b0988	CDS	insB4		IS1 protein InsB
b0989	CDS	cspH		CspA family protein CspH
b0990	CDS	cspG		cold shock protein CspG
b4723	CDS	ymcF		protein YmcF
b0991	CDS	ymcE		protein YmcE
b4517	CDS	gnsA		putative phosphatidylethanolamine synthesis regulator GnsA
b0992	CDS	yccM		putative electron transport protein YccM
b0993	CDS	torS	2.7.13.3	sensory histidine kinase TorS
b0994	CDS	torT		periplasmic trimethylamine-N-oxide binding protein
b0995	CDS	torR		DNA-binding transcriptional dual regulator TorR
b0996	CDS	torC		cytochrome c menaquinol dehydrogenase TorC
b0997	CDS	torA		trimethylamine N-oxide reductase 1
b0998	CDS	torD		trimethylamine-N-oxide reductase-specific chaperone
b0999	CDS	cbpM		chaperone modulator CbpM
b1000	CDS	cbpA		curved DNA-binding protein
b1001	CDS	yccE		uncharacterized protein YccE
b1002	CDS	agp	3.1.3.10	glucose-1-phosphatase
b1003	CDS	yccJ		PF13993 family protein YccJ
b1004	CDS	wrbA	1.6.5.2	NAD(P)H:quinone oxidoreductase
b4518	CDS	ymdF		stress-induced bacterial acidophilic repeat motifs-containing protein YmdF
b1006	CDS	rutG		pyrimidine:H(+) symporter
b1007	CDS	rutF	1.5.1.42	FMN reductase RutF
b1008	CDS	rutE	1.1.1.298	putative malonic semialdehyde reductase
b1009	CDS	rutD		putative aminoacrylate hydrolase RutD
b1010	CDS	rutC		putative aminoacrylate peracid reductase RutC
b1011	CDS	rutB		peroxyureidoacrylate/ureidoacrylate amidohydrolase
b1012	CDS	rutA	1.14.99.46	pyrimidine monooxygenase RutA
b1013	CDS	rutR		DNA-binding transcriptional dual regulator RutR
b1014	CDS	putA	1.2.1.88	fused DNA-binding transcriptional repressor/proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase PutA
b4737	CDS	ymdG		protein YmdG
b1015	CDS	putP		proline:Na(+) symporter
b1018	CDS	efeO		ferrous iron transport system protein EfeO
b1019	CDS	efeB	4.99.1.1	heme-containing peroxidase/deferrochelatase
b1020	CDS	phoH		ATP-binding protein PhoH
b1021	CDS	pgaD		poly-N-acetyl-D-glucosamine synthase subunit PgaD
b1022	CDS	pgaC		poly-N-acetyl-D-glucosamine synthase subunit PgaC
b1023	CDS	pgaB		poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase and beta-1,6 glycoside hydrolase
b1024	CDS	pgaA		partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine outer membrane porin
b1025	CDS	dgcT	2.7.7.65	putative diguanylate cyclase DgcT
b1026	CDS	insF4		IS3 element protein InsF
b1027	CDS	insE4		IS3 element protein InsE
b1029	CDS	ycdU		uncharacterized protein YcdU
b1032	tRNA	serX		tRNA-Ser
b1033	CDS	ghrA	1.1.1.79	glyoxylate/hydroxypyruvate reductase A
b1034	CDS	ycdX		zinc-binding phosphatase YcdX
b1035	CDS	ycdY		chaperone protein YcdY
b1036	CDS	ycdZ		inner membrane protein YcdZ
b1037	CDS	csgG		curli secretion channel
b1038	CDS	csgF		curli assembly component CsgF
b1039	CDS	csgE		curli assembly component CsgE
b1040	CDS	csgD		DNA-binding transcriptional dual regulator CsgD
b1041	CDS	csgB		curlin, minor subunit
b1042	CDS	csgA		curlin, major subunit
b1043	CDS	csgC		curlin chaperone
b1044	CDS	ymdA		uncharacterized protein YmdA
b1045	CDS	ymdB	3.1.1.106	2'-O-acetyl-ADP-ribose deacetylase, regulator of RNase III activity
b1046	CDS	clsC		cardiolipin synthase C
b1047	CDS	opgC		protein required for succinyl modification of osmoregulated periplasmic glucans
b1048	CDS	opgG		osmoregulated periplasmic glucans (OPGs) biosynthesis protein G
b1049	CDS	opgH		osmoregulated periplasmic glucans (OPGs) biosynthesis protein H
b1050	CDS	yceK		DUF1375 domain-containing lipoprotein YceK
b1051	CDS	msyB		acidic protein MsyB
b1053	CDS	mdtG		efflux pump MdtG
b1054	CDS	lpxL	2.3.1.241	lauroyl acyltransferase
b1055	CDS	trhO		tRNA U34 hydroxylase TrhO
b1056	CDS	yceI		protein YceI
b1057	CDS	yceJ		putative cytochrome b561 YceJ
b1058	CDS	yceO		DUF2770 domain-containing protein YceO
b1059	CDS	solA	1.5.3.2	N-methyl-L-tryptophan oxidase
b1060	CDS	bssS		regulator of biofilm formation
b1061	CDS	dinI		DNA damage-inducible protein I
b1062	CDS	pyrC	3.5.2.3	dihydroorotase
b1063	CDS	yceB		putative lipid-binding lipoprotein YceB
b1064	CDS	grxB		reduced glutaredoxin 2
b1065	CDS	mdtH		multidrug efflux pump MdtH
b1066	CDS	rimJ	2.3.1.267	ribosomal-protein-S5-alanine N-acetyltransferase
b1067	CDS	yceH		DUF480 domain-containing protein YceH
b1068	CDS	yceM		putative oxidoreductase YceM
b1069	CDS	murJ		lipid II flippase MurJ
b1070	CDS	flgN		flagellar biosynthesis protein FlgN
b1071	CDS	flgM		anti-sigma factor for FliA (sigma(28))
b1072	CDS	flgA		flagellar basal body P-ring formation protein FlgA
b1073	CDS	flgB		flagellar basal-body rod protein FlgB
b1074	CDS	flgC		flagellar basal-body rod protein FlgC
b1075	CDS	flgD		flagellar biosynthesis, initiation of hook assembly
b1076	CDS	flgE		flagellar hook protein FlgE
b1077	CDS	flgF		flagellar basal-body rod protein FlgF
b1078	CDS	flgG		flagellar basal-body rod protein FlgG
b1079	CDS	flgH		flagellar L-ring protein
b1080	CDS	flgI		flagellar P-ring protein
b1081	CDS	flgJ		putative peptidoglycan hydrolase FlgJ
b1082	CDS	flgK		flagellar hook-filament junction protein 1
b1083	CDS	flgL		flagellar hook-filament junction protein 2
b1084	CDS	rne	3.1.26.12	ribonuclease E
b1085	CDS	yceQ		DUF2655 domain-containing protein YceQ
b1086	CDS	rluC	5.4.99.24	23S rRNA pseudouridine(955/2504/2580) synthase
b1087	CDS	yceF		m(7)GTP pyrophosphatase
b1088	CDS	yceD		DUF177 domain-containing protein YceD
b1089	CDS	rpmF		50S ribosomal subunit protein L32
b1090	CDS	plsX	2.3.1.274	putative phosphate acyltransferase
b1091	CDS	fabH	2.3.1.180	3-oxoacyl-[acyl carrier protein] synthase 3
b1092	CDS	fabD	2.3.1.39	[acyl-carrier-protein] S-malonyltransferase
b1093	CDS	fabG	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
b1094	CDS	acpP		acyl carrier protein
b1095	CDS	fabF	2.3.1.179	3-oxoacyl-[acyl carrier protein] synthase 2
b1096	CDS	pabC	4.1.3.38	aminodeoxychorismate lyase
b1097	CDS	mltG		endolytic murein transglycosylase
b1098	CDS	tmk	2.7.4.9	hypothetical protein
b1099	CDS	holB		DNA polymerase III subunit delta'
b1100	CDS	ycfH		putative metal-dependent hydrolase YcfH
b1101	CDS	ptsG	2.7.1.199	glucose-specific PTS enzyme IIBC component
b1102	CDS	fhuE		ferric coprogen/ferric rhodotorulic acid outer membrane transporter
b1103	CDS	hinT		purine nucleoside phosphoramidase
b1104	CDS	ycfL		DUF1425 domain-containing protein YcfL
b1105	CDS	lpoB		outer membrane lipoprotein - activator of MrcB activity
b1106	CDS	thiK	2.7.1.89	thiamine kinase
b1107	CDS	nagZ	3.2.1.52	beta-N-acetylhexosaminidase
b1108	CDS	ycfP		UPF0227 protein YcfP
b1109	CDS	ndh	1.6.5.9	NADH:quinone oxidoreductase II
b1110	CDS	ycfJ		PF05433 family protein YcfJ
b1111	CDS	comR		DNA-binding transcriptional repressor ComR
b1112	CDS	bhsA		DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
b1113	CDS	ldtC		L,D-transpeptidase LdtC
b1114	CDS	mfd		transcription-repair coupling factor
b1115	CDS	ycfT		inner membrane protein YcfT
b1116	CDS	lolC		lipoprotein release complex - inner membrane subunit
b1117	CDS	lolD		lipoprotein release complex - ATP binding subunit
b1118	CDS	lolE		lipoprotein release complex - inner membrane subunit
b1119	CDS	nagK	2.7.1.59	N-acetyl-D-glucosamine kinase
b1120	CDS	cobB	2.3.1.286	protein-lysine deacetylase/desuccinylase/lipoamidase
b1120	CDS	cobB		CobB-S
b1121	CDS	ycfZ		putative inner membrane protein
b1122	CDS	ymfA		putative inner membrane protein YmfA
b1123	CDS	potD	7.6.2.11	spermidine preferential ABC transporter periplasmic binding protein
b1124	CDS	potC	7.6.2.11	spermidine preferential ABC transporter membrane subunit PotC
b1125	CDS	potB	7.6.2.11	spermidine preferential ABC transporter membrane subunit PotB
b1126	CDS	potA	7.6.2.11	spermidine preferential ABC transporter ATP binding subunit
b1127	CDS	pepT	3.4.11.4	peptidase T
b1128	CDS	roxA	1.14.11.47	ribosomal protein-arginine oxygenase
b1129	CDS	phoQ	2.7.13.3	sensor histidine kinase PhoQ
b1130	CDS	phoP		DNA-binding transcriptional dual regulator PhoP
b1131	CDS	purB	4.3.2.2	adenylosuccinate lyase
b1132	CDS	hflD		lysogenization regulator
b1133	CDS	mnmA	2.8.1.13	tRNA-specific 2-thiouridylase
b1134	CDS	nudJ	3.6.1.42	phosphatase NudJ
b1135	CDS	rluE	5.4.99.20	23S rRNA pseudouridine(2457) synthase
b1136	CDS	icd	1.1.1.42	isocitrate dehydrogenase
b1137	CDS	ymfD		e14 prophage; putative SAM-dependent methyltransferase YmfD
b1138	CDS	ymfE		e14 prophage; uncharacterized protein YmfE
b1139	CDS	lit		e14 prophage; cell death peptidase Lit
b1140	CDS	intE		e14 prophage; putative integrase
b1141	CDS	xisE		e14 prophage; putative excisionase
b1142	CDS	ymfH		e14 prophage; putative protein YmfH
b1143	CDS	ymfI		e14 prophage; uncharacterized protein YmfI
b1144	CDS	ymfJ		e14 prophage; uncharacterized protein YmfJ
b1145	CDS	ymfK		e14 prophage; putative repressor protein YmfK
b1146	CDS	ymfT		e14 prophage; putative DNA-binding transcriptional regulator YmfT
b1147	CDS	ymfL		e14 prophage; uncharacterized protein YmfL
b1148	CDS	ymfM		e14 prophage; uncharacterized protein YmfM
b1149	CDS	ymfN		e14 prophage; chimeric replication protein/phage terminase YmfN
b1150	CDS	ymfR		e14 prophage; IPR020297 domain-containing protein YmfR
b1151	CDS	beeE		e14 prophage; protein BeeE
b1153	CDS	ymfQ		e14 prophage; DUF2313 domain-containing protein YmfQ
b1154	CDS	ycfK		e14 prophage; protein StfP
b1155	CDS	tfaP		e14 prophage; putative tail fiber assembly protein TfaP
b1156	CDS	tfaE		e14 prophage; putative tail fiber assembly protein TfaE
b1158	CDS	pinE		e14 prophage; site-specific DNA recombinase
b1159	CDS	mcrA		e14 prophage; 5-methylcytosine-specific restriction enzyme McrA
b1160	CDS	iraM		anti-adaptor protein IraM, inhibitor of sigma(S) proteolysis
b4738	CDS	ymgK		protein YmgK
b4739	CDS	ymgL		protein YmgL
b1161	CDS	ycgX		DUF1398 domain-containing protein YcgX
b1162	CDS	bluR		DNA-binding transcriptional repressor BluR
b1163	CDS	bluF		blue light- and temperature-regulated antirepressor BluF
b1164	CDS	ycgZ		putative two-component system connector protein YcgZ
b1165	CDS	ymgA		putative two-component system connector protein YmgA
b1166	CDS	ariR		putative two-component system connector protein AriR
b1167	CDS	ymgC		protein YmgC
b1168	CDS	pdeG		putative c-di-GMP phosphodiesterase PdeG
b4520	CDS	ymgF		inner membrane protein YmgF
b1171	CDS	ymgD		PF16456 family protein YmgD
b1172	CDS	ymgG		PF13488 family protein YmgG
b4593	CDS	ymgI		uncharacterized protein YmgI
b4594	CDS	ymgJ		uncharacterized protein YmgJ
b1174	CDS	minE		Z-ring positioning protein MinE
b1175	CDS	minD		Z-ring positioning protein MinD
b1176	CDS	minC		Z-ring positioning protein MinC
b1177	CDS	ycgJ		PF05666 family protein YcgJ
b1178	CDS	pliG		inhibitor of g-type lysozyme
b1179	CDS	ycgL		PF05166 family protein YcgL
b1180	CDS	ycgM		putative isomerase/hydrolase
b1181	CDS	ycgN		PF03693 family protein YcgN
b1182	CDS	hlyE		hemolysin E
b1183	CDS	umuD	2.7.7.7	DNA polymerase V protein UmuD
b1184	CDS	umuC	2.7.7.7	DNA polymerase V catalytic protein
b1185	CDS	dsbB	1.8.5.9	protein thiol:quinone oxidoreductase DsbB
b1186	CDS	nhaB		Na(+):H(+) antiporter NhaB
b1187	CDS	fadR		DNA-binding transcriptional dual regulator FadR
b1188	CDS	ycgB		PF04293 family protein YcgB
b1189	CDS	dadA	1.4.5.1	D-amino acid dehydrogenase
b1190	CDS	dadX	5.1.1.1	alanine racemase 2
b4740	CDS	ymgM		protein YmgM
b1191	CDS	cvrA		putative K(+):H(+) antiporter
b1192	CDS	ldcA	3.4.17.13	murein L,D-carboxypeptidase
b1193	CDS	emtA		lytic murein transglycosylase E
b1194	CDS	ycgR		flagellar brake protein YcgR
b1195	CDS	ymgE		PF04226 family protein YmgE
b1196	CDS	ycgY		uncharacterized protein YcgY
b1197	CDS	treA	3.2.1.28	periplasmic trehalase
b1198	CDS	dhaM	2.7.1.121	dihydroxyacetone kinase subunit M
b1199	CDS	dhaL	2.7.1.121	dihydroxyacetone kinase subunit L
b1200	CDS	dhaK	2.7.1.121	dihydroxyacetone kinase subunit K
b1201	CDS	dhaR		DNA-binding transcriptional dual regulator DhaR
b1202	CDS	ycgV		putative autotransporter adhesin YcgV
b1203	CDS	ychF		redox-responsive ATPase YchF
b1204	CDS	pth	3.1.1.29	peptidyl-tRNA hydrolase
b1205	CDS	ychH		stress-induced protein
b1206	CDS	dauA		aerobic C4-dicarboxylate transporter DauA
b1207	CDS	prs	2.7.6.1	ribose-phosphate diphosphokinase
b1208	CDS	ispE	2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
b1209	CDS	lolB		outer membrane lipoprotein LolB
b1210	CDS	hemA	1.2.1.70	glutamyl-tRNA reductase
b1211	CDS	prfA		peptide chain release factor RF1
b1212	CDS	prmC	2.1.1.297	protein-(glutamine-N(5)) methyltransferase
b1213	CDS	ychQ		SirB family protein YchQ
b1214	CDS	ychA		transglutaminase-like/TPR repeat-containing protein
b1215	CDS	kdsA	2.5.1.55	3-deoxy-D-manno-octulosonate 8-phosphate synthase
b4419	CDS	ldrA		small toxic polypeptide LdrA
b4421	CDS	ldrB		small toxic polypeptide LdrB
b4423	CDS	ldrC		small toxic polypeptide LdrC
b1216	CDS	chaA		Na(+)/K(+):H(+) antiporter ChaA
b1217	CDS	chaB		putative cation transport regulator ChaB
b1218	CDS	chaC	4.3.2.7	glutathione-specific gamma-glutamylcyclotransferase
b1219	CDS	ychN		DsrE/F sulfur relay family protein YchN
b1220	CDS	ychO		putative invasin YchO
b1221	CDS	narL		DNA-binding transcriptional dual regulator NarL
b1222	CDS	narX	2.7.13.3	sensory histidine kinase NarX
b1223	CDS	narK		nitrate:nitrite antiporter NarK
b1224	CDS	narG	1.7.5.1	nitrate reductase A subunit alpha
b1225	CDS	narH	1.7.5.1	nitrate reductase A subunit beta
b1226	CDS	narJ		nitrate reductase 1 molybdenum cofactor assembly chaperone
b1227	CDS	narI	1.7.5.1	nitrate reductase A subunit gamma
b1228	CDS	ychS		putative uncharacterized protein YchS
b1229	CDS	tpr		protamine-like protein
b1230	tRNA	tyrV		tRNA-Tyr
b1231	tRNA	tyrT		tRNA-Tyr
b1232	CDS	purU	3.5.1.10	formyltetrahydrofolate deformylase
b1233	CDS	ychJ		NTF2-like domain-containing protein YchJ
b1234	CDS	rssA		putative patatin-like phospholipase RssA
b1235	CDS	rssB		regulator of RpoS
b1236	CDS	galU	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
b1237	CDS	hns		DNA-binding transcriptional dual regulator H-NS
b1238	CDS	tdk	2.7.1.21	thymidine/deoxyuridine kinase
b1241	CDS	adhE	1.1.1.1	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE
b4771	CDS	ychT		protein YchT
b1242	CDS	ychE		MarC family putative inner membrane protein YchE
b4711	CDS	insH21		IS5 transposase and trans-activator
b1243	CDS	oppA	7.4.2.6	oligopeptide ABC transporter periplasmic binding protein
b1244	CDS	oppB	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppB
b1245	CDS	oppC	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter inner membrane subunit OppC
b1246	CDS	oppD	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppD
b1247	CDS	oppF	7.4.2.6	murein tripeptide ABC transporter/oligopeptide ABC transporter ATP binding subunit OppF
b1248	CDS	yciU		DUF440 domain-containing protein YciU
b1249	CDS	clsA		cardiolipin synthase A
b4595	CDS	yciY		uncharacterized protein YciY
b1250	CDS	kch		K(+) channel Kch
b1251	CDS	yciI		protein YciI
b1252	CDS	tonB		Ton complex subunit TonB
b1253	CDS	yciA	3.1.2.20	acyl-CoA thioesterase YciA
b1254	CDS	yciB		inner membrane protein
b1255	CDS	yciC		putative inner membrane protein
b1256	CDS	ompW		outer membrane protein W
b1257	CDS	yciE		DUF892 domain-containing protein YciE
b1258	CDS	yciF		DUF892 domain-containing protein YciF
b1259	CDS	yciG		stress-induced bacterial acidophilic repeat motifs-containing protein YciG
b1260	CDS	trpA	4.1.2.8	tryptophan synthase subunit alpha
b1261	CDS	trpB	4.2.1.122	tryptophan synthase subunit beta
b1262	CDS	trpC	4.1.1.48	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
b1263	CDS	trpD	2.4.2.18	anthranilate synthase subunit TrpD
b1264	CDS	trpE	4.1.3.27	anthranilate synthase subunit TrpE
b1265	CDS	trpL		trp operon leader peptide
b1266	CDS	yciV	3.1.3.97	RNA/ssDNA 5'->3' exonuclease
b1267	CDS	yciO		putative RNA-binding protein YciO
b1268	CDS	yciQ		DUF2207 domain-containing protein YciQ
b1269	CDS	rluB	5.4.99.22	23S rRNA pseudouridine(2605) synthase
b1270	CDS	btuR	2.5.1.17	cobinamide/cobalamin adenosyltransferase
b1271	CDS	yciK		putative oxidoreductase
b1272	CDS	sohB		S49 peptidase family protein
b1273	CDS	yciN		protein YciN
b1274	CDS	topA	5.6.2.1	DNA topoisomerase 1
b1275	CDS	cysB		DNA-binding transcriptional dual regulator CysB
b4522	CDS	ymiA		uncharacterized protein YmiA
b4523	CDS	yciX		uncharacterized protein YciX
b4741	CDS	ymiC		protein YmiC
b1276	CDS	acnA		aconitate hydratase 1
b1277	CDS	ribA	3.5.4.25	GTP cyclohydrolase 2
b1278	CDS	pgpB	3.1.3.27	phosphatidylglycerophosphatase B
b1279	CDS	lapA		lipopolysaccharide assembly protein A
b1280	CDS	lapB		lipopolysaccharide assembly protein B
b1281	CDS	pyrF	4.1.1.23	orotidine-5'-phosphate decarboxylase
b1282	CDS	yciH		putative translation factor
b1283	CDS	osmB		osmotically-inducible lipoprotein OsmB
b1284	CDS	yciT		putative DNA-binding transcriptional regulator YciT
b4596	CDS	yciZ		UPF0509 protein YciZ
b4772	CDS	ymiD		protein YmiD
b1285	CDS	pdeR	3.1.4.52	cyclic di-GMP phosphodiesterase PdeR
b4672	CDS	ymiB		putative protein YmiB
b1286	CDS	rnb	3.1.13.1	RNase II
b1287	CDS	yciW		putative oxidoreductase
b1288	CDS	fabI	1.3.1.104	enoyl-[acyl-carrier-protein] reductase
b1289	CDS	ycjD		DUF559 domain-containing protein YcjD
b1290	CDS	sapF		putrescine ABC exporter ATP binding protein SapF
b1291	CDS	sapD		putrescine ABC exporter ATP binding protein SapD
b1292	CDS	sapC		putrescine ABC exporter membrane protein SapC
b1293	CDS	sapB		putrescine ABC exporter membrane subunit SapB
b1294	CDS	sapA		putative periplasmic binding protein SapA
b1295	CDS	ymjA		DUF2543 domain-containing protein YmjA
b1296	CDS	puuP		putrescine:H(+) symporter PuuP
b4742	CDS	ymjE		protein YmjE
b1297	CDS	puuA	6.3.1.11	glutamate-putrescine ligase
b1298	CDS	puuD	3.5.1.94	gamma-glutamyl-gamma-aminobutyrate hydrolase
b1299	CDS	puuR		DNA-binding transcriptional repressor PuuR
b1300	CDS	puuC	1.2.1.19	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase
b1301	CDS	puuB		gamma-glutamylputrescine oxidase
b1302	CDS	puuE	2.6.1.19	4-aminobutyrate aminotransferase PuuE
b1303	CDS	pspF		DNA-binding transcriptional dual regulator PspF
b1304	CDS	pspA		phage shock protein A
b1305	CDS	pspB		phage shock protein B
b1306	CDS	pspC		phage shock protein C
b1307	CDS	pspD		phage shock protein D
b1308	CDS	pspE	2.8.1.1	thiosulfate sulfurtransferase PspE
b1309	CDS	ycjM	2.4.1.352	glucosylglycerate phosphorylase
b1310	CDS	ycjN		putative ABC transporter periplasmic binding protein YcjN
b1311	CDS	ycjO		putative ABC transporter membrane subunit YcjO
b1312	CDS	ycjP		putative ABC transporter membrane subunit YcjP
b1313	CDS	ycjQ		D-guloside 3-dehydrogenase
b1314	CDS	ycjR		3-dehydro-D-guloside 4-epimerase
b1315	CDS	ycjS		D-glucoside 3-dehydrogenase
b1316	CDS	ycjT	2.4.1.230	kojibiose phosphorylase
b1317	CDS	ycjU	5.4.2.6	beta-phosphoglucomutase
b1319	CDS	ompG		outer membrane porin G
b1320	CDS	ycjW		DNA-binding transcriptional repressor YcjW
b1321	CDS	ycjX		DUF463 domain-containing protein YcjX
b1322	CDS	ycjF		DUF697 domain-containing inner membrane protein YcjF
b1323	CDS	tyrR		DNA-binding transcriptional dual regulator TyrR
b1324	CDS	tpx	1.11.1.24	lipid hydroperoxide peroxidase
b1325	CDS	ycjG	5.1.1.20	L-Ala-D/L-Glu epimerase
b1326	CDS	mpaA		murein tripeptide amidase A
b4525	CDS	ymjC		putative uncharacterized protein YmjC
b4673	CDS	ymjD		uncharacterized protein YmjD
b1327	CDS	ycjY		putative hydrolase YcjY
b1328	CDS	pgrR		DNA-binding transcriptional repressor PgrR
b1329	CDS	mppA		murein tripeptide ABC transporter periplasmic binding protein
b1330	CDS	ynaI		small conductance mechanosensitive channel YnaI
b1331	CDS	insH4		IS5 transposase and trans-activator
b1332	CDS	ynaJ		DUF2534 domain-containing protein YnaJ
b1333	CDS	uspE		universal stress protein E
b1334	CDS	fnr		DNA-binding transcriptional dual regulator FNR
b1335	CDS	ogt	2.1.1.63	methylated-DNA--[protein]-cysteine S-methyltransferase
b1336	CDS	abgT		p-aminobenzoyl glutamate:H(+) symporter
b1337	CDS	abgB		p-aminobenzoyl-glutamate hydrolase subunit B
b1338	CDS	abgA		p-aminobenzoyl-glutamate hydrolase subunit A
b1339	CDS	abgR		putative LysR-type DNA-binding transcriptional regulator AbgR
b1340	CDS	smrA		DNA endonuclease SmrA
b1341	CDS	dgcM	2.7.7.65	diguanylate cyclase DgcM
b4773	CDS	ynaN		protein YnaN
b1342	CDS	zntB		Zn(2(+)):H(+) symporter
b4743	CDS	ynaL		protein YnaL
b1343	CDS	dbpA		ATP-dependent RNA helicase DbpA
b1344	CDS	ttcA		tRNA cytosine(32) 2-sulfurtransferase TtcA
b1345	CDS	intR		Rac prophage; putative integrase
b1346	CDS	xisR		Rac prophage; excisionase
b1347	CDS	rcbA		Rac prophage; double-strand break reduction protein
b1348	CDS	ralR		Rac prophage; endodeoxyribonuclease toxin RalR
b1349	CDS	recT		Rac prophage; recombinase RecT
b1350	CDS	recE		Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific
b1351	CDS	racC		Rac prophage; protein RacC
b4526	CDS	ydaE		Rac prophage; zinc-binding protein
b1352	CDS	kilR		Rac prophage; inhibitor of FtsZ
b1353	CDS	sieB		Rac prophage; phage superinfection exclusion protein
b4527	CDS	ydaF		Rac prophage; DUF1391 domain-containing protein YdaF
b1355	CDS	ydaG		Rac prophage; uncharacterized protein YdaG
b1356	CDS	racR		Rac prophage; DNA-binding transcriptional repressor RacR
b1357	CDS	ydaS		Rac prophage; toxin YdaS
b1358	CDS	ydaT		Rac prophage; protein YdaT
b1359	CDS	ydaU		Rac prophage; DUF1376 domain-containing protein YdaU
b1360	CDS	ydaV		Rac prophage; putative ATP-binding protein YdaV
b1361	CDS	ydaW		Rac prophage; putative uncharacterized protein YdaW
b4528	CDS	rzoR		Rac prophage; putative prophage outer membrane lipoprotein RzoR
b1363	CDS	trkG		Rac prophage; K(+) transporter TrkG
b1365	CDS	ynaK		Rac prophage; ParB-like nuclease domain-containing protein YnaK
b1366	CDS	ydaY		Rac prophage; putative uncharacterized protein YdaY
b1368	CDS	ynaA		Rac prophage; putative prophage tail length tape measure domain-containing protein YnaA
b4570	CDS	lomR		Rac prophage; protein LomR_1
b1370	CDS	insH5		Rac prophage; IS5 transposase and trans-activator
b1372	CDS	stfR		Rac prophage; putative prophage side tail fiber protein StfR
