CRTL1	CTRL2	CTRL3	T1	T2	T3	COUNT	TYPE	GENE	VERSION	DESCRIPTION
1945	1146	687	750	639	796	PaeAG1_02001	CDS			two-component response regulator
2816	1609	1234	1371	1068	1326	PaeAG1_02002	CDS			hypothetical protein
4583	2315	1931	2052	2243	2349	PaeAG1_02003	CDS	yciI		Protein YciI
8318	4590	5015	3286	3320	3891	PaeAG1_02004	CDS			intracellular septation protein A
2940	1595	1015	1144	1064	1501	PaeAG1_02005	CDS	yciV	3.1.13.-	5'-3' exoribonuclease
1646	940	546	601	578	696	PaeAG1_02006	CDS	yciO		putative protein YciO
2184	1216	683	648	676	688	PaeAG1_02007	CDS	scpA		Segregation and condensation protein A
2501	1521	922	618	629	851	PaeAG1_02008	CDS	scpB		Segregation and condensation protein B
1249	658	564	289	291	380	PaeAG1_02009	CDS			hypothetical protein
304	205	128	151	165	183	PaeAG1_02010	CDS			hypothetical protein
4239	2251	1162	1576	1647	1498	PaeAG1_02011	CDS	gapA		glyceraldehyde 3-phosphate dehydrogenase
8080	4517	1943	1580	1663	1776	PaeAG1_02012	CDS	edd	4.2.1.12	phosphogluconate dehydratase
2563	1730	625	1013	980	1310	PaeAG1_02013	CDS	glk	2.7.1.2	glucokinase
1456	900	476	608	588	715	PaeAG1_02014	CDS	gltR		two-component response regulator GltR
746	417	272	424	430	454	PaeAG1_02015	CDS			two-component sensor
39220	20773	14391	2808	3434	4335	PaeAG1_02016	CDS			sugar ABC transporter substrate-binding protein
3325	1727	1270	319	387	484	PaeAG1_02017	CDS			sugar ABC transporter permease
2870	1497	1181	371	413	458	PaeAG1_02018	CDS			sugar ABC transporter permease
6885	4020	2074	462	544	610	PaeAG1_02019	CDS			ABC transporter ATP-binding protein
9451.18	5551.71	3696.89	1799.13	3187.56	2060.43	PaeAG1_02020	CDS	oprB_2		porin B
3273	2090	1361	2012	2030	2141	PaeAG1_02021	CDS	yeaD_1	5.1.3.15	Putative glucose-6-phosphate 1-epimerase
1635	1017	612	623	659	813	PaeAG1_02022	CDS			HTH-type transcriptional regulator
5343	2954	1608	1003	1086	1226	PaeAG1_02023	CDS	zwf	1.1.1.49	glucose-6-phosphate 1-dehydrogenase
1595	949	309	319	370	386	PaeAG1_02024	CDS	pgl		6-phosphogluconolactonase
2592	1548	643	934	889	889	PaeAG1_02025	CDS		4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase
961	523	464	520	537	469	PaeAG1_02026	CDS			hypothetical protein
3686	2283	1068	990	981	1363	PaeAG1_02027	CDS			ribosomal large subunit pseudouridine synthase B
176	116	83	50	90	120	PaeAG1_02028	CDS			hypothetical protein
2504	1461	867	1247	1004	1343	PaeAG1_02029	CDS			hypothetical protein
527	299	211	680	388	647	PaeAG1_02030	CDS	gltS		glutamate/sodium ion symporter GltS
471	302	162	830	539	787	PaeAG1_02031	CDS		3.5.3.8	formimidoylglutamase
500	248	180	399	261	355	PaeAG1_02032	CDS			transcriptional regulator
5178	2782	1869	937	900	1124	PaeAG1_02033	CDS			short-chain dehydrogenase
3142	1849	772	385	464	583	PaeAG1_02034	CDS			phosphoglycolate phosphatase
6410	3787	2289	1133	1155	1649	PaeAG1_02035	CDS	ubiG_2	2.1.1.64	ubiquinone biosynthesis O-methyltransferase
4942	2705	1996	1201	1393	1623	PaeAG1_02036	CDS			N-ethylammeline chlorohydrolase
2887	1788	794	611	630	979	PaeAG1_02037	CDS		5.3.1.23	methylthioribose-1-phosphate isomerase
51789	27231	12582	7282	6980	10419	PaeAG1_02038	CDS	gyrA		DNA gyrase subunit A
14808	8131	4129	3373	2782	4153	PaeAG1_02039	CDS	serC	2.6.1.52	3-phosphoserine/phosphohydroxythreonine aminotransferase
9379	4992	2781	2523	1903	2599	PaeAG1_02040	CDS	pheA		bifunctional chorismate mutase/prephenate dehydratase
3558	1884	920	492	452	757	PaeAG1_02041	CDS	hisC2	2.6.1.9	histidinol-phosphate aminotransferase
10019	5644	2464	1945	1910	2833	PaeAG1_02042	CDS	aroA	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase
4067	2340	1317	1173	1139	1382	PaeAG1_02043	CDS	cmk	2.7.4.14	cytidylate kinase
204574	112026	88033	38398	38457	69141	PaeAG1_02044	CDS	rpsA		30S ribosomal protein S1
7722	2914	5050	7267	6068	8289	PaeAG1_02045	CDS	himD		integration host factor subunit beta
16526	6337	7641	7730	5849	13750	PaeAG1_02046	CDS	wzz_1		O-antigen chain length regulator
70210	23915	27050	26335	22588	43044	PaeAG1_02047	CDS	rmd_1		oxidoreductase Rmd
40963	12338	18638	15594	14295	24629	PaeAG1_02048	CDS	arnB_2		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
34747	14187	20674	15427	13421	22242	PaeAG1_02049	CDS	legG	3.2.1.184	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)
28312	11692	18866	16994	14889	21028	PaeAG1_02050	CDS	legI	2.5.1.101	N,N'-diacetyllegionaminic acid synthase
19462	6959	11517	9283	8455	11037	PaeAG1_02051	CDS	epsM	2.3.1.-	Putative acetyltransferase EpsM
49154	17968	23452	20165	17231	28982	PaeAG1_02052	CDS	glgC	2.7.7.27	Glucose-1-phosphate adenylyltransferase
46333	16132	17920	8129	6642	13612	PaeAG1_02053	CDS			oxidoreductase
49279	19831	21062	11613	9615	19003	PaeAG1_02054	CDS	legF	2.7.7.82	CMP-N,N'-diacetyllegionaminic acid synthase
45712	12001	8631	5696	3970	10214	PaeAG1_02055	CDS			short-chain dehydrogenase
11115	3106	2788	1390	1085	2189	PaeAG1_02056	CDS			hypothetical protein
11426	3520	1929	825	622	1756	PaeAG1_02057	CDS			hypothetical protein
14516	5370	5786	2901	2304	4644	PaeAG1_02058	CDS			hypothetical protein
16158	5428	8936	3877	3347	6959	PaeAG1_02059	CDS	wbpG		LPS biosynthesis protein WbpG
15249	5541	8801	4408	3762	7173	PaeAG1_02060	CDS	hisH2	2.4.2.-	imidazole glycerol phosphate synthase subunit HisH
33890	12357	17213	6515	5751	12355	PaeAG1_02061	CDS	hisF2	4.1.3.-	imidazole glycerol phosphate synthase subunit HisF
31738	10356	18387	8784	8264	16047	PaeAG1_02062	CDS	capD	5.1.3.2	UDP-glucose 4-epimerase
38411	12367	20509	13492	10841	19576	PaeAG1_02063	CDS	wbjC	1.1.1.367	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
30346	10476	20017	17463	14773	22665	PaeAG1_02064	CDS	wbpI		UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimeras
13200	5478	9994	8964	7984	10261	PaeAG1_02065	CDS	wbpJ		glycosyl transferase WbpJ
14727	6251	11607	14104	11802	16523	PaeAG1_02066	CDS	wbpK		NAD-dependent epimerase/dehydratase
8067	4324	6054	3993	3721	5441	PaeAG1_02067	CDS	wbpL		glycosyltransferase WbpL
17935	10125	10705	10748	9208	11817	PaeAG1_02068	CDS	wbpM		nucleotide sugar epimerase/dehydratase WbpM
422	197	258	458	406	393	PaeAG1_02069	CDS			hypothetical protein
358	309.5	618	177.5	296.5	240.5	PaeAG1_02070	tRNA			tRNA-Asn
16154	8978	6642	3391	3754	5368	PaeAG1_02071	CDS		2.6.1.57	aspartate aminotransferase
9444	5411	2495	3743	3496	3923	PaeAG1_02072	CDS	uvrB		excinuclease ABC subunit B
974	597	296	973	844	693	PaeAG1_02073	CDS			major facilitator superfamily transporter
225	107	83	83	70	126	PaeAG1_02074	CDS			secretion protein
1033	687	465	388	358	512	PaeAG1_02075	CDS			transcriptional regulator
8921	5449	3033	2071	2071	3964	PaeAG1_02076	CDS	gltX	6.1.1.17	glutamate--tRNA ligase
421	325.5	600	179.5	261.5	394	PaeAG1_02077	tRNA			tRNA-Ala
409.667	337	315	121.667	179	225	PaeAG1_02078	tRNA			tRNA-Glu
421	325.5	600	179.5	261.5	394	PaeAG1_02079	tRNA			tRNA-Ala
409.667	337	315	121.667	179	225	PaeAG1_02080	tRNA			tRNA-Glu
121	77	36	92	94	122	PaeAG1_02081	CDS			transcriptional regulator
184	104	50	243	177	249	PaeAG1_02082	CDS			hydrolase
797	452	280	417	365	606	PaeAG1_02083	CDS			aldolase
442	266	162	364	275	413	PaeAG1_02084	CDS			hypothetical protein
992	642	322	410	380	550	PaeAG1_02085	CDS			tRNA-dihydrouridine synthase C
1185	664	268	706	568	732	PaeAG1_02086	CDS			short-chain dehydrogenase
1263	695	418	371	383	438	PaeAG1_02087	CDS			hypothetical protein
4702	2310	2353	38236	14581	21995	PaeAG1_02088	CDS	ibpA		heat-shock protein IbpA
356	197	124	453	405	381	PaeAG1_02089	CDS			hypothetical protein
681	433	200	1166	901	1076	PaeAG1_02090	CDS			transcriptional regulator
507	323	115	577	538	527	PaeAG1_02091	CDS	yabJ_1	3.5.99.10	2-iminobutanoate/2-iminopropanoate deaminase
1261	692	382	495	487	495	PaeAG1_02092	CDS			transcriptional regulator
6877	3428	1554	1780	1777	1760	PaeAG1_02093	CDS	leuC	4.2.1.33	3-isopropylmalate dehydratase large subunit
4051	1884	1335	1131	1072	1054	PaeAG1_02094	CDS	leuD	4.2.1.33	isopropylmalate isomerase small subunit
1470	802	268	239	232	286	PaeAG1_02095	CDS	ycgJ	2.1.1.-	putative methyltransferase YcgJ
4273	2451	1258	1492	1518	1741	PaeAG1_02096	CDS	leuB	1.1.1.85	3-isopropylmalate dehydrogenase
6474	4009	2313	1591	1696	2189	PaeAG1_02097	CDS	asd	1.2.1.11	aspartate-semialdehyde dehydrogenase
1830	1031	673	608	513	715	PaeAG1_02098	CDS		1.2.1.11	aspartate-semialdehyde dehydrogenase
38683	24167	13671	19749	16882	17508	PaeAG1_02099	CDS	fimV		motility protein FimV
2473	1419	1025	1268	1304	1403	PaeAG1_02100	CDS	truA	5.4.99.12	tRNA pseudouridine synthase A
3035	1864	923	1023	1281	1359	PaeAG1_02101	CDS	trpF	5.3.1.24	N-(5'-phosphoribosyl)anthranilate isomerase
14248	8519	5468	2639	2594	4131	PaeAG1_02102	CDS	accD	6.4.1.2	acetyl-CoA carboxylase carboxyltransferase subunit beta
12674	7692	3580	2283	2355	2909	PaeAG1_02103	CDS	folC		folylpolyglutamate synthetase
4164	2173	1479	878	914	1217	PaeAG1_02104	CDS	ftsN_1		Cell division protein FtsN
1827	1058	831	463	500	698	PaeAG1_02105	CDS			hypothetical protein
13479	7294	3672	3459	3034	4636	PaeAG1_02106	CDS	purF	2.4.2.14	amidophosphoribosyltransferase
5381	3162	1316	2231	1845	2160	PaeAG1_02107	CDS	metZ		O-succinylhomoserine sulfhydrylase
2460	1500	761	1062	960	985	PaeAG1_02108	CDS			oxidoreductase
6005	3133	2489	3143	2923	3346	PaeAG1_02109	CDS	xcpQ		type II secretion system protein D
2366	1225	1428	1167	1278	1449	PaeAG1_02110	CDS	xcpP		type II secretion system protein N
2794	1718	906	1578	1455	1652	PaeAG1_02111	CDS	xcpR		type II secretion system protein E
1771	949	616	1077	1006	1202	PaeAG1_02112	CDS	xcpS		type II secretion system protein F
1352	811	372	852	853	796	PaeAG1_02113	CDS	xcpT		type II secretion system protein G
767	486	237	568	484	438	PaeAG1_02114	CDS	xcpU		type II secretion system protein H
301	215	116	241	232	188	PaeAG1_02115	CDS	xcpV		type II secretion system protein I
662	377	198	371	334	282	PaeAG1_02116	CDS	xcpW		type II secretion system protein J
866	447	291	434	402	427	PaeAG1_02117	CDS	xcpX		type II secretion system protein K
977	703	319	680	714	644	PaeAG1_02118	CDS	xcpY		type II secretion system protein L
511	328	119	447	436	421	PaeAG1_02119	CDS	xcpZ		type II secretion system protein M
582	379	706.5	204	271.5	256	PaeAG1_02120	tRNA			tRNA-Val
583.408	361.351	442.588	393.033	413.614	393.015	PaeAG1_02121	tRNA			tRNA-Asp
583.408	361.351	442.588	393.033	413.614	393.015	PaeAG1_02122	tRNA			tRNA-Asp
1095	636	402	530	510	659	PaeAG1_02123	CDS			transcriptional regulator
1508	956	592	650	660	1041	PaeAG1_02124	CDS			hypothetical protein
841	502	231	507	452	669	PaeAG1_02125	CDS	fadH1		2,4-dienoyl-CoA reductase
3930	2581	1510	2664	2272	2631	PaeAG1_02126	CDS			hypothetical protein
766	490	296	468	455	540	PaeAG1_02127	CDS			1-aminocyclopropane-1-carboxylate deaminase
1472	856	388	911	1100	922	PaeAG1_02128	CDS			hypothetical protein
1835	1148	766	672	853	868	PaeAG1_02129	CDS		2.7.1.23	NAD kinase
2128	1350	770	1093	990	1208	PaeAG1_02130	CDS	apaH_2	3.6.1.41	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
1832	1133	756	1130	1090	1230	PaeAG1_02131	CDS	glpG	3.4.21.105	Rhomboid protease GlpG
4147	2349	2368	1557	1372	2000	PaeAG1_02132	CDS			hypothetical protein
6620	3271	2762	1997	2016	2346	PaeAG1_02133	CDS			hypothetical protein
36106	19177	10274	11033	10766	12780	PaeAG1_02134	CDS	pepN		aminopeptidase
8490	4203	2199	1226	1096	1859	PaeAG1_02135	CDS	gbt_3		glycine betaine transmethylase
4787	2328	1088	834	720	1113	PaeAG1_02136	CDS			hypothetical protein
2437	1416	999	908	857	1285	PaeAG1_02137	CDS	hcf136_1		Ycf48-like protein
2004	1165	921	2651	1947	2714	PaeAG1_02138	CDS			hypothetical protein
1407	741	514	653	664	713	PaeAG1_02139	CDS			two-component sensor
875	500	306	261	267	359	PaeAG1_02140	CDS			two-component response regulator
1712	986	533	809	777	724	PaeAG1_02141	CDS			hypothetical protein
2263	1233	964	925	803	797	PaeAG1_02142	CDS			hypothetical protein
2429	1488	1100	889	857	1044	PaeAG1_02143	CDS			hypothetical protein
1360	800	609	430	445	526	PaeAG1_02144	CDS			hypothetical protein
756	484	268	203	289	281	PaeAG1_02145	CDS			hypothetical protein
324	158	62	96	88	98	PaeAG1_02146	tRNA			tRNA-Ala
6171	3345	2207	1652	1481	2008	PaeAG1_02147	CDS			hypothetical protein
2028	1004	736	513	507	779	PaeAG1_02148	CDS			hypothetical protein
48793	22727	9406	14986	12104	20565	PaeAG1_02149	CDS	gdhB		NAD-specific glutamate dehydrogenase
384	194	132	336	302	301	PaeAG1_02150	CDS			transcriptional regulator
517	312	211	545	509	519	PaeAG1_02151	CDS	rutB_2	3.5.1.110	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
167	112	79	191	191	184	PaeAG1_02152	CDS			hypothetical protein
7	5	7	7	7	7	PaeAG1_02153	CDS			hypothetical protein
709	400	302	821	964	1266	PaeAG1_02154	CDS			hypothetical protein
474	303	155	818	812	1150	PaeAG1_02155	CDS	pelB		pellicle/biofilm biosynthesis protein PelB
109	58	22	138	168	233	PaeAG1_02156	CDS	pelC		pellicle/biofilm biosynthesis outer membrane protein PelC
304	169	99	299	336	506	PaeAG1_02157	CDS	pelD		pellicle/biofilm biosynthesis protein PelD
311	166	93	343	365	367	PaeAG1_02158	CDS	pelE		pellicle/biofilm biosynthesis protein PelE
392	232	174	350	374	487	PaeAG1_02159	CDS	pelF		pellicle/biofilm biosynthesis glycosyltransferase PelF
626	361	306	469	454	612	PaeAG1_02160	CDS	pelG		pellicle/biofilm biosynthesis Wzx-like polysaccharide transporter PelG
169	83	89	149	114	133	PaeAG1_02161	CDS			hypothetical protein
1360	692	525	723	647	1077	PaeAG1_02162	CDS			hypothetical protein
671	358	320	464	419	665	PaeAG1_02163	CDS			hypothetical protein
2143	1158	456	545	446	596	PaeAG1_02164	CDS			hypothetical protein
1080	599	385	403	408	461	PaeAG1_02165	CDS			hydrolase
2232	1310	650	624	559	628	PaeAG1_02166	CDS			hypothetical protein
1092	660	648	582	544	657	PaeAG1_02167	CDS			hypothetical protein
4788	2657	1588	957	1036	1536	PaeAG1_02168	CDS	pyrD		dihydroorotate dehydrogenase
268401	100047	102106	448233	353539	354358	PaeAG1_02169	CDS	rmf		ribosome modulation factor
3244	2038	794	1041	937	1178	PaeAG1_02170	CDS			ribosomal RNA large subunit methyltransferase K/L
3121	1672	1236	2112	1673	1665	PaeAG1_02171	CDS			D-alanyl-D-alanine carboxypeptidase
3873	1826	3245	2007	1687	2667	PaeAG1_02172	CDS			hypothetical protein
406	190	209	280	209	279	PaeAG1_02173	CDS			two-component response regulator
956	534	331	463	466	465	PaeAG1_02174	CDS			two-component sensor
6059	3233	1971	1640	1660	1977	PaeAG1_02175	CDS			deoxyguanosinetriphosphate triphosphohydrolase
3785	2342	818	2047	1646	2019	PaeAG1_02176	CDS			hypothetical protein
6045	3655	1702	2998	2541	2884	PaeAG1_02177	CDS			hypothetical protein
17411	8259	7362	11265	7868	10798	PaeAG1_02178	CDS	yqjD_1		putative protein YqjD
377	208	237	196	167	188	PaeAG1_02179	CDS			transporter
4745	2631	2047	3316	2956	6813	PaeAG1_02180	CDS			porin
211	119	46	185	154	173	PaeAG1_02181	CDS			hypothetical protein
166	105	37	113	125	160	PaeAG1_02182	CDS			hypothetical protein
272	158	154	201	213	231	PaeAG1_02183	CDS			glutathione S-transferase
1532	783	1004	877	777	907	PaeAG1_02184	CDS			transcriptional regulator
1040	539	691	373	458	569	PaeAG1_02185	CDS			hypothetical protein
601	309	239	474	467	524	PaeAG1_02186	CDS	snr1		cytochrome C Snr1
24	19	11	4	12	6	PaeAG1_02187	tRNA			tRNA-Pro
27092	9800	17334	26194	22055	26378	PaeAG1_02188	CDS			hypothetical protein
339	206	152	117	131	206	PaeAG1_02189	CDS	mobA		molybdenum cofactor guanylyltransferase
2025	1262	562	598	562	806	PaeAG1_02190	CDS	moaB2		molybdopterin biosynthesis protein B
424	259	72	128	91	132	PaeAG1_02191	tRNA			tRNA-Trp
1042	741	414	454	396	594	PaeAG1_02192	CDS			transcriptional regulator
939	522	276	397	388	423	PaeAG1_02193	CDS	glcD_2		glycolate oxidase subunit GlcD
763	465	176	434	382	454	PaeAG1_02194	CDS			FAD-dependent glycerol-3-phosphate dehydrogenase
566	347	140	532	377	407	PaeAG1_02195	CDS			carbohydrate kinase
1184	715	328	1100	1030	1220	PaeAG1_02196	CDS			lipid kinase
3422	2234	1084	2742	2421	3248	PaeAG1_02197	CDS	ycbX		putative protein YcbX
1236	787	422	548	472	751	PaeAG1_02198	CDS			hypothetical protein
6086	3016	2040	2251	2063	2627	PaeAG1_02199	CDS			lytic transglycosylase
4423	2890	1733	1208	1160	2109	PaeAG1_02200	CDS			ABC transporter ATP-binding protein
724	466	312	369	317	360	PaeAG1_02201	CDS			hypothetical protein
1799	1020	868	2353	1756	1636	PaeAG1_02202	CDS	uspA2		Universal stress protein A
371	216	145	287	219	272	PaeAG1_02203	CDS			hypothetical protein
1492	798	753	673	733	1008	PaeAG1_02204	CDS			hypothetical protein
22774	10983	5459	6522	5831	7005	PaeAG1_02205	CDS	faoA	1.1.1.35	fatty acid oxidation complex subunit alpha
10749	5685	2576	3870	3421	3611	PaeAG1_02206	CDS	foaB	2.3.1.16	3-ketoacyl-CoA thiolase
870	532	461	475	566	669	PaeAG1_02207	CDS			hypothetical protein
15275	8841	5140	5444	4807	7809	PaeAG1_02208	CDS	topA_1	5.6.2.1	DNA topoisomerase I
3097	1711	1774	2756	2589	2222	PaeAG1_02209	CDS			hypothetical protein
5447	2987	4193	1511	1746	1951	PaeAG1_02210	CDS			hypothetical protein
4093	2737	1918	2552	2185	3290	PaeAG1_02211	CDS			cell division inhibitor SulA
6366	3670	2799	4036	3793	5795	PaeAG1_02212	CDS	lexA	3.4.21.88	LexA repressor
16306	7567	5940	16986	8968	12913	PaeAG1_02213	CDS	psrA		transcriptional regulator PsrA
2490	1507	815	1077	973	1313	PaeAG1_02214	CDS	nagZ	3.2.1.52	beta-hexosaminidase
1254	867	362	672	588	767	PaeAG1_02215	CDS		2.4.2.28	S-methyl-5'-thioinosine phosphorylase
2170	1268	666	834	746	887	PaeAG1_02216	CDS			hypothetical protein
13862	7866	3866	3860	3233	4600	PaeAG1_02217	CDS	mfd		transcription-repair coupling factor
36131	19097	12927	11762	10734	24680	PaeAG1_02218	CDS		1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase
4717.84	2493.65	1493.83	1332	1093.51	1442.76	PaeAG1_02219	CDS	aroP1		aromatic amino acid transporter AroP
8587	4764	2731	1752	1532	2993	PaeAG1_02220	CDS	nqrA		Na(+)-translocating NADH-quinone reductase subunit A
5874	3523	1545	1571	1328	2146	PaeAG1_02221	CDS	nqrB		Na(+)-translocating NADH-quinone reductase subunit B
3186	1760	737	868	744	1093	PaeAG1_02222	CDS	nqrC		Na(+)-translocating NADH-quinone reductase subunit C
3782	1939	1186	1416	1015	1488	PaeAG1_02223	CDS	nqrD		Na(+)-translocating NADH-quinone reductase subunit D
2325	1366	528	856	664	876	PaeAG1_02224	CDS	nqrE		Na(+)-translocating NADH-quinone reductase subunit E
4848	2482	1261	1999	1712	2169	PaeAG1_02225	CDS	nqrF		Na(+)-translocating NADH-quinone reductase subunit F
3378	1778	1081	1877	1521	1884	PaeAG1_02226	CDS	apbE	2.7.1.180	FAD:protein FMN transferase
1384	702	675	1330	1208	1192	PaeAG1_02227	CDS			hypothetical protein
18768	10144	5825	5560	6599	8238	PaeAG1_02228	CDS	sth	1.6.1.1	soluble pyridine nucleotide transhydrogenase
3746	2133	1381	1967	1938	2097	PaeAG1_02229	CDS			phosphodiesterase
279	151	106	94	78	108	PaeAG1_02230	CDS			hypothetical protein
1333	627	622	555	597	649	PaeAG1_02231	CDS			hypothetical protein
4295	2550	1902	967	997	1558	PaeAG1_02232	CDS	lolE_1		Lipoprotein-releasing system transmembrane protein LolE
2063	1364	995	836	928	1117	PaeAG1_02233	CDS			lipoprotein-releasing system ABC transporter ATP-binding protein
2460	1524	938	680	670	927	PaeAG1_02234	CDS	lolE_2		Lipoprotein-releasing system transmembrane protein LolE
2282	1082	1362	768	745	1041	PaeAG1_02235	CDS			hypothetical protein
594	341	188	548	509	563	PaeAG1_02236	CDS	comEC		ComE operon protein 3
1920	1311	768	416	486	728	PaeAG1_02237	CDS			translocation protein TolQ
1373	1031	638	503	484	594	PaeAG1_02238	CDS			hypothetical protein
2264	1584	862	708	708	963	PaeAG1_02239	CDS	lpxK	2.7.1.130	tetraacyldisaccharide 4'-kinase
1395	809	576	462	441	589	PaeAG1_02240	CDS			hypothetical protein
3990	2326	964	642	640	937	PaeAG1_02241	CDS	kdsB	2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase
2225	1330	530	433	412	547	PaeAG1_02242	CDS	ptpA		phosphotyrosine protein phosphatase
2612	1615	687	784	697	781	PaeAG1_02243	CDS	murB	1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase
60150	31705	14945	6684	6549	9135	PaeAG1_02244	CDS	rne		ribonuclease E
7717	4554	3053	2821	2955	3835	PaeAG1_02245	CDS	rluC		ribosomal large subunit pseudouridine synthase C
3839	2316	1220	1406	1676	1500	PaeAG1_02246	CDS			hydrolase
8861	5398	3763	2453	2774	2551	PaeAG1_02247	CDS			peptidase
614	404	208	196	193	241	PaeAG1_02248	CDS	yceF		Maf-like protein YceF
11372	6854	11954	2624	2824	4192	PaeAG1_02249	CDS	yceD		Large ribosomal RNA subunit accumulation protein YceD
13845	6134	18204	4910	4572	9458	PaeAG1_02250	CDS	rpmF		50S ribosomal protein L32
6247	3819	2697	593	625	941	PaeAG1_02251	CDS	plsX		phosphate acyltransferase
15459	9265	3431	1284	1611	2562	PaeAG1_02252	CDS	fabD		malonyl CoA-ACP transacylase
30107	17957	7140	6709	5429	6684	PaeAG1_02253	CDS	fabG	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase FabG
187675	95843	125693	54002	50418	93088	PaeAG1_02254	CDS	acpP		acyl carrier protein
21996	11486	6376	3527	3406	4840	PaeAG1_02255	CDS	fabF1	2.3.1.179	3-oxoacyl-ACP synthase
4532	2633	1222	1142	1091	1306	PaeAG1_02256	CDS	pabC	4.1.3.38	4-amino-4-deoxychorismate lyase
2726	1472	997	1104	961	1089	PaeAG1_02257	CDS	mltG	4.2.2.-	Endolytic murein transglycosylase
1794	1086	469	646	619	780	PaeAG1_02258	CDS	tmk	2.7.4.9	thymidylate kinase
2450	1622	995	1288	1161	1294	PaeAG1_02259	CDS	holB	2.7.7.7	DNA polymerase III subunit delta'
4693	2400	2921	1487	1556	2347	PaeAG1_02260	CDS	pilZ		type 4 fimbrial biogenesis protein PilZ
3736	2297	1649	1450	1513	2097	PaeAG1_02261	CDS	mttC_2		secretion protein MttC
2481	1423	896	1411	1296	1519	PaeAG1_02262	CDS	pvdN_1		pyoverdine biosynthesis protein PvdN
4045	1994	2294	2520	2143	3526	PaeAG1_02263	CDS			transcriptional regulator
1336	750	531	632	533	753	PaeAG1_02264	CDS			hypothetical protein
1190	707	453	343	335	396	PaeAG1_02265	CDS			hypothetical protein
799	523	180	211	199	250	PaeAG1_02266	CDS			hypothetical protein
11908	6612	4550	5282	4745	7955	PaeAG1_02267	CDS			electron transfer flavoprotein-ubiquinone oxidoreductase
24302	12945	5607	7254	6492	9771	PaeAG1_02268	CDS	etfB		electron transfer flavoprotein subunit beta
30612	16369	7710	15145	12901	17201	PaeAG1_02269	CDS	etfA		electron transfer flavoprotein subunit alpha
22932	15016	6534	3140	3375	5351	PaeAG1_02270	CDS		1.3.1.-	reductase
1043	607	335	425	509	548	PaeAG1_02271	CDS			lipase
333	201	94	136	142	211	PaeAG1_02272	CDS	cobM		precorrin-4 C(11)-methyltransferase
172	100	48	66	47	79	PaeAG1_02273	CDS	cbiG	3.7.1.12	Cobalt-precorrin-5A hydrolase
1344	848	412	768	770	997	PaeAG1_02274	CDS			hypothetical protein
815	429	440	279	297	348	PaeAG1_02275	CDS			hypothetical protein
1697	967	424	594	471	1061	PaeAG1_02276	CDS			cobalamin biosynthesis protein CobW
2108	1150	569	1215	1031	1591	PaeAG1_02277	CDS	cobN	6.6.1.2	cobaltochelatase subunit CobN
937	452	197	285	268	328	PaeAG1_02278	CDS		2.5.1.54	phospho-2-dehydro-3-deoxyheptonate aldolase
1720	1241	603	522	579	765	PaeAG1_02279	CDS			magnesium chelatase
764	514	305	345	344	395	PaeAG1_02280	CDS			hypothetical protein
434	264	166	381	369	359	PaeAG1_02281	CDS			acyl-CoA thiolase
1001	586	279	1401	975	1304	PaeAG1_02282	CDS			aminopeptidase
1060	486	348	1367	1151	1224	PaeAG1_02283	CDS			transporter
883	385	316	2360	1928	1693	PaeAG1_02284	CDS			hypothetical protein
106	67	58	66	58	63	PaeAG1_02285	CDS			hypothetical protein
68	38	52	47	37	62	PaeAG1_02286	CDS			hypothetical protein
39	23	43	17	19	41	PaeAG1_02287	CDS			hypothetical protein
363	178	163	181	203	221	PaeAG1_02288	CDS	cif		CFTR inhibitory factor
151	90	29	73	57	85	PaeAG1_02289	CDS			major facilitator superfamily transporter
357	217	82	223	227	286	PaeAG1_02290	CDS	morB		morphinone reductase
1140	700	274	1656	1276	1254	PaeAG1_02291	CDS	cifR_1		CifR protein
942	519	262	1272	879	1046	PaeAG1_02292	CDS			transcriptional regulator
198	134	60	130	99	160	PaeAG1_02293	CDS			leucine export protein LeuE
757	479	203	574	536	616	PaeAG1_02294	CDS			hypothetical protein
589	372	125	205	227	254	PaeAG1_02295	CDS			hypothetical protein
236	131	88	106	112	138	PaeAG1_02296	CDS	hisP		histidine ABC transporter ATP-binding protein HisP
212	99	92	116	89	102	PaeAG1_02297	CDS	hisM		histidine ABC transporter permease HisM
110	44	15	75	60	66	PaeAG1_02298	CDS	hisQ		histidine ABC transporter permease HisQ
59	46	16	32	26	51	PaeAG1_02299	CDS	hisJ		histidine ABC transporter substrate-binding protein HisJ
121	74	32	58	55	72	PaeAG1_02300	CDS			hydrolase
