ID	TYPE	NAME	???	DESCRIPTION
PA1353	CDS			hypothetical protein
PA1354	CDS			hypothetical protein
PA1355	CDS			hypothetical protein
PA1356	CDS			hypothetical protein
PA1357	CDS			hypothetical protein
PA1358	CDS			hypothetical protein
PA1359	CDS			transcriptional regulator
PA1360	CDS			hypothetical protein
PA1361	CDS			multidrug resistance protein PmpM
PA1362	CDS			hypothetical protein
PA1363	CDS			ECF subfamily sigma-70 factor
PA1364	CDS			transmembrane sensor
PA1365	CDS			siderophore receptor
PA1366	CDS			hypothetical protein
PA1367	CDS			hypothetical protein
PA1368	CDS			hypothetical protein
PA1369	CDS			hypothetical protein
PA1370	CDS			hypothetical protein
PA1371	CDS			hypothetical protein
PA1372	CDS			hypothetical protein
PA1373	CDS	fabF2	2.3.1.41	3-oxoacyl-ACP synthase
PA1374	CDS			hypothetical protein
PA1375	CDS	pdxB		erythronate-4-phosphate dehydrogenase
PA1376	CDS	aceK	2.7.11.5	bifunctional isocitrate dehydrogenase kinase/phosphatase
PA1377	CDS			hypothetical protein
PA1378	CDS			hypothetical protein
PA1379	CDS			short-chain dehydrogenase
PA1380	CDS			transcriptional regulator
PA1381	CDS			hypothetical protein
PA1382	CDS			type II secretion system protein
PA1383	CDS			hypothetical protein
PA1384	CDS	galE		UDP-glucose 4-epimerase
PA1385	CDS			glycosyl transferase family protein
PA1386	CDS			ABC transporter ATP-binding protein
PA1387	CDS			hypothetical protein
PA1388	CDS			hypothetical protein
PA1389	CDS			glycosyl transferase family protein
PA1390	CDS			glycosyl transferase family protein
PA1391	CDS			glycosyl transferase family protein
PA1392	CDS			hypothetical protein
PA1393	CDS	cysC		adenylyl-sulfate kinase
PA1394	CDS			hypothetical protein
PA1395	CDS			hypothetical protein
PA1396	CDS			two-component sensor
PA1397	CDS			two-component response regulator
PA1398	CDS			hypothetical protein
PA1399	CDS			transcriptional regulator
PA1400	CDS			pyruvate carboxylase
PA1401	CDS			hypothetical protein
PA1402	CDS			hypothetical protein
PA1403	CDS			transcriptional regulator
PA1404	CDS			hypothetical protein
PA1405	CDS			helicase
PA1406	CDS			hypothetical protein
PA1407	CDS			hypothetical protein
PA1408	CDS			hypothetical protein
PA1409	CDS	aphA		acetylpolyamine aminohydrolase
PA1410	CDS			spermidine/putrescine-binding protein
PA1411	CDS			hypothetical protein
PA1412	CDS			hypothetical protein
PA1413	CDS			transcriptional regulator
PA1414	CDS			hypothetical protein
PA1415	CDS			hypothetical protein
PA1416	CDS			hypothetical protein
PA1417	CDS			hypothetical protein
PA1418	CDS			sodium:solute symport protein
PA1419	CDS			transporter
PA1420	CDS			hypothetical protein
PA1421	CDS	gbuA		guanidinobutyrase
PA1422	CDS	gbuR		protein GbuR
PA1423	CDS	bdlA		biofilm dispersion protein
PA1424	CDS			hypothetical protein
PA1424a	CDS			hypothetical protein
PA1425	CDS			ABC transporter ATP-binding protein
PA1428a	CDS			hypothetical protein
PA1428	CDS			hypothetical protein
PA1429	CDS			cation-transporting P-type ATPase
PA1430	CDS	lasR		transcriptional regulator LasR
PA1431	CDS	rsaL		regulatory protein RsaL
PA1432	CDS	lasI		acyl-homoserine-lactone synthase
PA1433	CDS			hypothetical protein
PA1434	CDS			hypothetical protein
PA1435	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
PA1436	CDS			resistance-nodulation-cell division (RND) efflux transporter
PA1437	CDS			two-component response regulator
PA1438	CDS			two-component sensor
PA1439	CDS			hypothetical protein
PA1440	CDS			hypothetical protein
PA1441	CDS			hypothetical protein
PA1442	CDS			flagellar basal body protein FliL
PA1443	CDS	fliM		flagellar motor switch protein FliM
PA1444	CDS	fliN		flagellar motor switch protein FliN
PA1445	CDS	fliO		flagellar protein FliO
PA1446	CDS	fliP		flagellar biosynthesis protein FliP
PA1447	CDS	fliQ		flagellar biosynthesis protein FliQ
PA1448	CDS	fliR		flagellar biosynthesis protein FliR
PA1449	CDS	flhB		flagellar biosynthesis protein FlhB
PA1450	CDS			hypothetical protein
PA1451	CDS			hypothetical protein
PA1452	CDS	flhA		flagellar biosynthesis protein FlhA
PA1453	CDS	flhF		flagellar biosynthesis regulator FlhF
PA1454	CDS	fleN		flagellar synthesis regulator FleN
PA1455	CDS	fliA		flagellar biosynthesis sigma factor FliA
PA1456	CDS	cheY		chemotaxis protein CheY
PA1457	CDS	cheZ		protein phosphatase CheZ
PA1458	CDS			two-component sensor
PA1459	CDS		3.1.1.61	chemotaxis-specific methylesterase
PA1460	CDS	motC		flagellar motor protein
PA1461	CDS	motD		flagellar motor protein MotD
PA1462	CDS			plasmid partitioning protein
PA1463	CDS			hypothetical protein
PA1464	CDS			purine-binding chemotaxis protein
PA1465	CDS			hypothetical protein
PA1466	CDS			hypothetical protein
PA1467	CDS			hypothetical protein
PA1468	CDS			hypothetical protein
PA1469	CDS			hypothetical protein
PA1470	CDS			short-chain dehydrogenase
PA1471	CDS			hypothetical protein
PA1472	CDS			hypothetical protein
PA1473	CDS			hypothetical protein
PA1474	CDS			hypothetical protein
PA1475	CDS	ccmA		cytochrome c biogenesis ATP-binding export protein CcmA
PA1476	CDS	ccmB		heme exporter protein CcmB
PA1477	CDS	ccmC		heme exporter protein CcmC
PA1478	CDS			heme exporter protein CcmD
PA1479	CDS	ccmE		cytochrome c-type biogenesis protein CcmE
PA1480	CDS	ccmF		cytochrome c-type biogenesis protein CcmF
PA1481	CDS	ccmG		cytochrome c-type biogenesis protein CcmG
PA1482	CDS	ccmH		cytochrome c-type biogenesis protein CcmH
PA1483	CDS	cycH		cytochrome c-type biogenesis protein CycH
PA1483a	CDS			hypothetical protein
PA1484	CDS			transcriptional regulator
PA1485	CDS			amino acid permease
PA1486	CDS			hypothetical protein
PA1487	CDS			carbohydrate kinase
PA1488	CDS			hypothetical protein
PA1489	CDS			hypothetical protein
PA1490	CDS			transcriptional regulator
PA1491	CDS			transporter
PA1492	CDS			hypothetical protein
PA1493	CDS	cysP		sulfate ABC transporter substrate-binding protein
PA1494	CDS			hypothetical protein
PA1495	CDS			hypothetical protein
PA1496	CDS			potassium channel
PA1497	CDS			transporter
PA1498	CDS	pykF	2.7.1.40	pyruvate kinase
PA1499	CDS			hypothetical protein
PA1500	CDS			2-hydroxy-3-oxopropionate reductase
PA1501	CDS			hypothetical protein
PA1502	CDS	gcl	4.1.1.47	glyoxylate carboligase
PA1503	CDS			hypothetical protein
PA1504	CDS			transcriptional regulator
PA1505	CDS	moaA2		cyclic pyranopterin monophosphate synthase
PA1506	CDS			hypothetical protein
PA1507	CDS			transporter
PA1508	CDS			hypothetical protein
PA1509	CDS			hypothetical protein
PA1510	CDS			hypothetical protein
PA1511	CDS			hypothetical protein
PA1512	CDS	hcpA		secreted protein Hcp
PA1513	CDS			hypothetical protein
PA1514	CDS		3.5.1.116	ureidoglycolate hydrolase
PA1515	CDS	alc	3.5.3.4	allantoicase
PA1516	CDS			hypothetical protein
PA1517	CDS			hypothetical protein
PA1518	CDS			5-hydroxyisourate hydrolase
PA1519	CDS			transporter
PA1520	CDS			transcriptional regulator
PA1521	CDS			guanine deaminase
PA1522	CDS			hypothetical protein
PA1523	CDS	xdhB		xanthine dehydrogenase
PA1524	CDS	xdhA		xanthine dehydrogenase
PA1525	CDS	alkB2		alkane-1 monooxygenase
PA1526	CDS			transcriptional regulator
PA1527	CDS			hypothetical protein
PA1528	CDS	zipA		cell division protein ZipA
PA1529	CDS	lig	6.5.1.2	NAD-dependent DNA ligase LigA
PA1530	CDS			hypothetical protein
PA1530.1	rRNA	ffs		4.5S ribosomal RNA
PA1531	CDS			hypothetical protein
PA1532	CDS	dnaX	2.7.7.7	DNA polymerase III subunits gamma/tau
PA1533	CDS			nucleoid-associated protein
PA1534	CDS	recR		recombination protein RecR
PA1535	CDS			acyl-CoA dehydrogenase
PA1536	CDS			hypothetical protein
PA1537	CDS			Baeyer-Villiger monooxygenase
PA1538	CDS			flavin-containing monooxygenase
PA1539	CDS			hypothetical protein
PA1540	CDS			multidrug efflux system protein MdtI
PA1541	CDS			drug efflux transporter
PA1542	CDS			hypothetical protein
PA1543	CDS	apt	2.4.2.7	adenine phosphoribosyltransferase
PA1544	CDS	anr		transcriptional regulator Anr
PA1545	CDS			hypothetical protein
PA1546	CDS	hemN		oxygen-independent coproporphyrinogen-III oxidase
PA1547	CDS			hypothetical protein
PA1548	CDS			hypothetical protein
PA1549	CDS			cation-transporting P-type ATPase
PA1550	CDS			hypothetical protein
PA1551	CDS			ferredoxin
PA1552	CDS	ccoP1		cytochrome C oxidase cbb3-type subunit CcoP
PA1552.1	CDS	ccoQ1		cytochrome C oxidase cbb3-type subunit CcoQ
PA1553	CDS	ccoO1		cbb3-type cytochrome C oxidase subunit II
PA1554	CDS	ccoN1		cbb3-type cytochrome C oxidase subunit I
PA1555	CDS	ccoP2		cytochrome C oxidase cbb3-type subunit CcoP
PA1555.1	CDS	ccoQ2		cytochrome C oxidase cbb3-type subunit CcoQ
PA1556	CDS	ccoO2		cbb3-type cytochrome C oxidase subunit II
PA1557	CDS	ccoN2		cbb3-type cytochrome C oxidase subunit I
PA1558	CDS			hypothetical protein
PA1561	CDS	aer		aerotaxis receptor Aer
PA1562	CDS	acnA	4.2.1.3	aconitate hydratase
PA1563	CDS			23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM
PA1564	CDS			sulfurtransferase TusA
PA1565	CDS			oxidoreductase
PA1566	CDS			hypothetical protein
PA1567	CDS			hypothetical protein
PA1568	CDS			hypothetical protein
PA1569	CDS			major facilitator superfamily transporter
PA1570	CDS			transcriptional regulator
PA1571	CDS			hypothetical protein
PA1572	CDS			hypothetical protein
PA1573	CDS			hypothetical protein
PA1574	CDS			hypothetical protein
PA1575	CDS			hypothetical protein
PA1576	CDS			3-hydroxyisobutyrate dehydrogenase
PA1577	CDS			hypothetical protein
PA1578	CDS			hypothetical protein
PA1578a	CDS			hypothetical protein
PA1579	CDS			hypothetical protein
PA1580	CDS	gltA	2.3.3.1	citrate synthase
PA1581	CDS	sdhC		succinate dehydrogenase subunit C
PA1582	CDS	sdhD		succinate dehydrogenase subunit D
PA1583	CDS	sdhA	1.3.5.1	succinate dehydrogenase flavoprotein subunit
PA1584	CDS	sdhB		succinate dehydrogenase iron-sulfur subunit
PA1585	CDS	sucA	1.2.4.2	2-oxoglutarate dehydrogenase subunit E1
PA1586	CDS	sucB	2.3.1.61	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
PA1587	CDS	lpdG	1.8.1.4	2-oxoglutarate dehydrogenase complex dihydrolipoyl dehydrogenase
PA1588	CDS	sucC	6.2.1.5	succinyl-CoA ligase subunit beta
PA1589	CDS	sucD	6.2.1.5	succinyl-CoA ligase subunit alpha
PA1590	CDS	braB		branched-chain amino acid transporter
PA1591	CDS			hypothetical protein
PA1592	CDS			hypothetical protein
PA1593	CDS			hypothetical protein
PA1594	CDS			hypothetical protein
PA1595	CDS			hypothetical protein
PA1596	CDS	htpG		chaperone protein HtpG
PA1597	CDS			hypothetical protein
PA1598	CDS		2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
PA1599	CDS			transcriptional regulator
PA1600	CDS			cytochrome C
PA1601	CDS			aldehyde dehydrogenase
PA1602	CDS			oxidoreductase
PA1603	CDS			transcriptional regulator
PA1604	CDS			hypothetical protein
PA1605	CDS			hypothetical protein
PA1606	CDS			hypothetical protein
PA1607	CDS			hypothetical protein
PA1608	CDS			chemotaxis transducer
PA1609	CDS	fabB	2.3.1.41	3-oxoacyl-ACP synthase
PA1610	CDS	fabA		3-hydroxydecanoyl-ACP dehydratase
PA1611	CDS			sensor/response regulator hybrid protein
PA1612	CDS			hypothetical protein
PA1613	CDS			hypothetical protein
PA1614	CDS	gpsA	1.1.1.94	glycerol-3-phosphate dehydrogenase
PA1615	CDS			lipase
PA1616	CDS			hypothetical protein
PA1617	CDS			AMP-binding protein
PA1618	CDS			esterase
PA1619	CDS			transcriptional regulator
PA1620	CDS			hypothetical protein
PA1621	CDS			hydrolase
PA1622	CDS			hydrolase
PA1623	CDS			hypothetical protein
PA1624	CDS			hypothetical protein
PA1625	CDS			hypothetical protein
PA1626	CDS			major facilitator superfamily transporter
PA1627	CDS			transcriptional regulator
PA1628	CDS		1.1.1.157	3-hydroxyacyl-CoA dehydrogenase
PA1629	CDS		4.2.1.17	enoyl-CoA hydratase
PA1630	CDS			transcriptional regulator
PA1631	CDS			acyl-CoA dehydrogenase
PA1632	CDS	kdpF	3.6.3.12	potassium-transporting ATPase subunit F
PA1633	CDS	kdpA	3.6.3.12	potassium-transporting ATPase subunit A
PA1634	CDS	kdpB	3.6.3.12	potassium-transporting ATPase subunit B
PA1635	CDS	kdpC	3.6.3.12	potassium-transporting ATPase subunit C
PA1636	CDS	kdpD		two-component sensor KdpD
PA1637	CDS	kdpE		two-component response regulator KdpE
PA1638	CDS		3.5.1.2	glutaminase
PA1639	CDS			hypothetical protein
PA1640	CDS			hypothetical protein
PA1641	CDS			hypothetical protein
PA1642	CDS	selD	2.7.9.3	selenide, water dikinase
PA1643	CDS			tRNA 2-selenouridine synthase
PA1643a	CDS			aldehyde-activating protein
PA1644	CDS			hypothetical protein
PA1645	CDS			hypothetical protein
PA1646	CDS			chemotaxis transducer
PA1647	CDS			sulfate transporter
PA1648	CDS			oxidoreductase
PA1649	CDS			short-chain dehydrogenase
PA1650	CDS			transporter
PA1651	CDS			transporter
PA1652	CDS			hypothetical protein
PA1653	CDS			transcriptional regulator
PA1654	CDS			aminotransferase
PA1655	CDS			glutathione S-transferase
PA1656	CDS			hypothetical protein
PA1657	CDS			hypothetical protein
PA1658	CDS			hypothetical protein
PA1659	CDS			hypothetical protein
PA1660	CDS			hypothetical protein
PA1661	CDS			hypothetical protein
PA1662	CDS			ClpA/B-type protease
PA1663	CDS			transcriptional regulator
PA1664	CDS			hypothetical protein
PA1665	CDS			hypothetical protein
PA1666	CDS			hypothetical protein
PA1667	CDS			hypothetical protein
PA1668	CDS			hypothetical protein
PA1669	CDS			hypothetical protein
PA1670	CDS	stp1		serine/threonine phosphoprotein phosphatase Stp1
PA1671	CDS	stk1		serine-threonine kinase Stk1
PA1672	CDS			hypothetical protein
PA1673	CDS			bacteriohemerythrin
PA1674	CDS	folE2	3.5.4.16	GTP cyclohydrolase I
PA1675	CDS			hypothetical protein
PA1676	CDS			hypothetical protein
PA1677	CDS			hypothetical protein
PA1678	CDS			50S ribosomal protein L3 glutamine methyltransferase
PA1679	CDS			hypothetical protein
PA1680	CDS			hypothetical protein
PA1681	CDS	aroC	4.2.3.5	chorismate synthase
PA1682	CDS			MFS metabolite transporter
PA1683	CDS			methylthioribulose-1-phosphate dehydratase
PA1684	CDS			acireductone dioxygenase
PA1685	CDS	masA		enolase-phosphatase
PA1686	CDS	alkA		DNA-3-methyladenine glycosidase II
PA1687	CDS	speE	2.5.1.16	polyamine aminopropyltransferase
PA1688	CDS			hypothetical protein
PA1689	CDS			hypothetical protein
PA1690	CDS	pscU		translocation protein in type III secretion
PA1691	CDS	pscT		translocation protein in type III secretion
PA1692	CDS			translocation protein in type III secretion
PA1693	CDS	pscR		type III secretion system protein
PA1694	CDS	pscQ		type III secretion system protein
PA1695	CDS	pscP		translocation protein in type III secretion
PA1696	CDS	pscO		translocation protein in type III secretion
PA1697	CDS			type III secretion system ATPase
PA1698	CDS	popN		type III secretion outer membrane protein PopN
PA1699	CDS			hypothetical protein
PA1700	CDS			hypothetical protein
PA1701	CDS			hypothetical protein
PA1702	CDS			hypothetical protein
PA1703	CDS	pcrD		type III secretory apparatus protein PcrD
PA1704	CDS	pcrR		transcriptional regulator PcrR
PA1705	CDS	pcrG		type III secretion regulator
PA1706	CDS	pcrV		type III secretion protein PcrV
PA1707	CDS	pcrH		regulatory protein PcrH
PA1708	CDS	popB		translocator protein PopB
PA1709	CDS	popD		translocator outer membrane protein PopD
PA1710	CDS	exsC		exoenzyme S synthesis protein ExsC
PA1711	CDS			hypothetical protein
PA1712	CDS	exsB		exoenzyme S synthesis protein ExsB
PA1713	CDS	exsA		exoenzyme S transcriptional regulator ExsA
PA1714	CDS	exsD		hypothetical protein
PA1715	CDS	pscB		type III export apparatus protein
PA1716	CDS	pscC		type III secretion outer membrane protein PscC
PA1717	CDS	pscD		type III export protein PscD
PA1718	CDS	pscE		type III export protein PscE
PA1719	CDS	pscF		type III export protein PscF
PA1720	CDS	pscG		type III export protein PscG
PA1721	CDS	pscH		type III export protein PscH
PA1722	CDS	pscI		type III export protein PscI
PA1723	CDS	pscJ		type III export protein PscJ
PA1724	CDS	pscK		type III export protein PscK
PA1725	CDS	pscL		type III secretion system protein
PA1726	CDS	bglX		beta-glucosidase
PA1727	CDS	mucR		signaling protein
PA1728	CDS			hypothetical protein
PA1729	CDS			hypothetical protein
PA1730	CDS			hypothetical protein
PA1731	CDS			hypothetical protein
PA1732	CDS			hypothetical protein
PA1733	CDS			hypothetical protein
PA1734	CDS			hypothetical protein
PA1735	CDS			hypothetical protein
PA1736	CDS		2.3.1.9	acetyl-CoA acetyltransferase
PA1737	CDS			3-hydroxyacyl-CoA dehydrogenase
PA1738	CDS			transcriptional regulator
PA1739	CDS			oxidoreductase
PA1740	CDS			hypothetical protein
PA1741	CDS			hypothetical protein
PA1742	CDS			amidotransferase
PA1743	CDS			hypothetical protein
PA1744	CDS			hypothetical protein
PA1745	CDS			hypothetical protein
PA1746	CDS			hypothetical protein
PA1747	CDS			hypothetical protein
PA1748	CDS		4.2.1.17	enoyl-CoA hydratase
PA1749	CDS			hypothetical protein
PA1750	CDS		2.5.1.54	phospho-2-dehydro-3-deoxyheptonate aldolase
PA1751	CDS			hypothetical protein
PA1752	CDS		1.1.1.169	2-dehydropantoate 2-reductase
PA1753	CDS			hypothetical protein
PA1754	CDS	cysB		transcriptional regulator CysB
PA1755	CDS			hypothetical protein
PA1756	CDS	cysH	1.8.4.8	phosphoadenosine phosphosulfate reductase
PA1757	CDS	thrH		phosphoserine phosphatase
PA1758	CDS	pabB		para-aminobenzoate synthase component I
PA1759	CDS			transcriptional regulator
PA1760	CDS			transcriptional regulator
PA1761	CDS			hypothetical protein
PA1762	CDS			hypothetical protein
PA1763	CDS			hypothetical protein
PA1764	CDS			hypothetical protein
PA1765	CDS			hypothetical protein
PA1766	CDS			hypothetical protein
PA1767	CDS			hypothetical protein
PA1768	CDS			hypothetical protein
PA1769	CDS			phosphoenolpyruvate synthase regulatory protein
PA1770	CDS	ppsA	2.7.9.2	phosphoenolpyruvate synthase
PA1771	CDS	estX		hydrolase
PA1772	CDS			ribonuclease activity regulator protein RraA
PA1773	CDS	cmaX		transporter
PA1774	CDS	crfX		hypothetical protein
PA1775	CDS	cmpX		hypothetical protein
PA1776	CDS	sigX		RNA polymerase sigma factor SigX
PA1777	CDS	oprF		outer membrane porin F
PA1778	CDS	cobA	2.1.1.107	uroporphyrin-III C-methyltransferase
PA1779	CDS			assimilatory nitrate reductase
PA1780	CDS	nirD		assimilatory nitrite reductase small subunit
PA1781	CDS	nirB		assimilatory nitrite reductase large subunit
PA1782	CDS			serine/threonine-protein kinase
PA1783	CDS	nasA		nitrate transporter
PA1784	CDS			hypothetical protein
PA1785	CDS			hypothetical protein
PA1786	CDS			hypothetical protein
PA1787	CDS	acnB	4.2.1.3	aconitate hydratase B
PA1788	CDS			hypothetical protein
PA1789	CDS			hypothetical protein
PA1790	CDS			hypothetical protein
PA1791	CDS			hypothetical protein
PA1792	CDS		3.6.1.-	UDP-2,3-diacylglucosamine hydrolase
PA1793	CDS	ppiB		peptidyl-prolyl cis-trans isomerase B
PA1794	CDS	glnS	6.1.1.18	glutamine--tRNA ligase
PA1795	CDS	cysS	6.1.1.16	cysteine--tRNA ligase
PA1796	CDS	folD	1.5.1.5	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase
PA1796.1	tRNA			tRNA-Arg
PA1796.2	tRNA			tRNA-His
PA1796.3	tRNA			tRNA-Leu
PA1796.4	tRNA			tRNA-His
PA1797a	CDS			hypothetical protein
PA1797	CDS			hypothetical protein
PA1798	CDS	parS		two-component sensor ParS
PA1799	CDS	parR		two-component response regulator ParR
PA1800	CDS	tig	5.2.1.8	trigger factor
PA1801	CDS	clpP	3.4.21.92	ATP-dependent Clp protease proteolytic subunit
PA1802	CDS	clpX		ATP-dependent protease ATP-binding subunit ClpX
PA1803	CDS	lon		Lon protease
PA1804	CDS	hupB		DNA-binding protein HU
PA1804.1	tRNA			tRNA-Asp
PA1805	CDS	ppiD		peptidyl-prolyl cis-trans isomerase D
PA1806	CDS	fabI		NADH-dependent enoyl-ACP reductase
PA1807	CDS			ABC transporter ATP-binding protein
PA1808	CDS			ABC transporter permease
PA1809	CDS			ABC transporter permease
PA1810	CDS			ABC transporter
PA1811	CDS			solute-binding protein
PA1812	CDS	mltD		membrane-bound lytic murein transglycosylase D
PA1813	CDS		3.1.2.6	hydroxyacylglutathione hydrolase
PA1814	CDS			hypothetical protein
PA1815	CDS	rnhA	3.1.26.4	ribonuclease HI
PA1816	CDS	dnaQ		DNA polymerase III subunit epsilon
PA1817	CDS			hypothetical protein
PA1818	CDS	ldcA		lysine-specific pyridoxal 5'-phosphate-dependent carboxylase LdcA
PA1819	CDS			amino acid permease
PA1820	CDS	nhaB		Na(+)/H(+) antiporter NhaB
PA1821	CDS		4.2.1.17	enoyl-CoA hydratase
PA1822	CDS	fimL		hypothetical protein
PA1823	CDS			NADH pyrophosphatase
PA1824	CDS			hypothetical protein
PA1825	CDS			hypothetical protein
PA1826	CDS			transcriptional regulator
PA1827	CDS			short-chain dehydrogenase
PA1828	CDS			short-chain dehydrogenase
PA1829	CDS			hypothetical protein
PA1830	CDS			hypothetical protein
PA1831	CDS			hypothetical protein
PA1832	CDS			protease
PA1833	CDS			oxidoreductase
PA1833a	CDS			alpha/beta hydrolase
PA1835	CDS			hypothetical protein
PA1836	CDS			transcriptional regulator
PA1837	CDS			hypothetical protein
PA1838	CDS	cysI		sulfite reductase
PA1837a	CDS			hypothetical protein
PA1839	CDS			RNA methyltransferase
PA1840	CDS			hypothetical protein
PA1841	CDS			hypothetical protein
PA1842	CDS			hypothetical protein
PA1843	CDS	metH	2.1.1.13	B12-dependent methionine synthase
PA1844	CDS			hypothetical protein
PA1845	CDS			hypothetical protein
PA1846	CDS	cti		cis/trans isomerase
PA1847	CDS			Fe/S biogenesis protein NfuA
PA1848	CDS			major facilitator superfamily transporter
PA1849	CDS			hypothetical protein
PA1850	CDS			transcriptional regulator
PA1851	CDS			hypothetical protein
PA1852	CDS			hypothetical protein
PA1853	CDS			transcriptional regulator
PA1854	CDS			hypothetical protein
PA1855	CDS			hypothetical protein
PA1856	CDS			cbb3-type cytochrome C oxidase subunit I
PA1857	CDS			hypothetical protein
PA1858	CDS	str		streptomycin 3''-phosphotransferase
PA1859	CDS			transcriptional regulator
PA1860	CDS			hypothetical protein
PA1861	CDS	modC		molybdenum ABC transporter ATP-binding protein ModC
PA1862	CDS	modB		molybdenum ABC transporter permease ModB
PA1863	CDS	modA		molybdenum ABC transporter substrate-binding protein ModA
PA1864	CDS			transcriptional regulator
PA1865	CDS			Fanconi-associated nuclease
PA1866	CDS			hypothetical protein
PA1866a	CDS			hypothetical protein
PA1867	CDS	xphA		type VI pilus biosynthesis protein
PA1868	CDS	xqhA		secretion protein XqhA
PA1869	CDS			acyl carrier protein
PA1870	CDS			hypothetical protein
PA1871	CDS	lasA		protease LasA
PA1872	CDS			hypothetical protein
PA1873	CDS			hypothetical protein
PA1874	CDS			hypothetical protein
PA1875	CDS			hypothetical protein
PA1876	CDS			ABC transporter ATP-binding protein/permease
PA1877	CDS			secretion protein
PA1878	CDS			hypothetical protein
PA1879	CDS			hypothetical protein
PA1880	CDS			oxidoreductase
PA1881	CDS			oxidoreductase
PA1882	CDS			transporter
PA1883	CDS			NADH-quinone oxidoreductase subunit A
PA1884	CDS			transcriptional regulator
PA1885	CDS			hypothetical protein
PA1886	CDS	polB	2.7.7.7	DNA polymerase II
PA1887	CDS			hypothetical protein
PA1888	CDS			hypothetical protein
PA1889	CDS			hypothetical protein
PA1890	CDS			glutathione S-transferase
PA1891	CDS			hypothetical protein
PA1892	CDS			hypothetical protein
PA1893	CDS			hypothetical protein
PA1894	CDS			hypothetical protein
PA1895	CDS			hypothetical protein
PA1896	CDS			hypothetical protein
PA1897	CDS			hypothetical protein
PA1898	CDS	qscR		quorum-sensing control repressor
PA1899	CDS	phzA2		phenazine biosynthesis protein PhzA
PA1900	CDS	phzB2		phenazine biosynthesis protein PhzB
PA1901	CDS	phzC2		phenazine biosynthesis protein PhzC
PA1902	CDS	phzD2		phenazine biosynthesis protein PhzD
PA1903	CDS	phzE2		phenazine biosynthesis protein PhzE
PA1904	CDS	phzF2		trans-2,3-dihydro-3-hydroxyanthranilate isomerase
PA1905	CDS	phzG2		pyridoxamine 5'-phosphate oxidase
PA1906	CDS			hypothetical protein
PA1907	CDS			hypothetical protein
PA1908	CDS			major facilitator superfamily transporter
PA1909	CDS			hypothetical protein
PA1910	CDS	femA		ferric-mycobactin receptor FemA
PA1911	CDS	femR		sigma factor regulator FemR
PA1912	CDS	femI		ECF sigma factor FemI
PA1913	CDS			hypothetical protein
PA1914	CDS			hypothetical protein
PA1915	CDS			hypothetical protein
PA1916	CDS			amino acid permease
PA1917	CDS			hypothetical protein
PA1918	CDS			hypothetical protein
PA1919	CDS	nrdG		class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG
PA1920	CDS	nrdD	1.17.4.2	anaerobic ribonucleoside triphosphate reductase
PA1921	CDS			hypothetical protein
PA1922	CDS			TonB-dependent receptor
PA1923	CDS		6.6.1.2	cobaltochelatase subunit CobN
PA1924	CDS			hypothetical protein
PA1925	CDS			hypothetical protein
PA1926	CDS			hypothetical protein
PA1927	CDS	metE	2.1.1.14	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase
PA1928	CDS	rimJ		ribosomal protein alanine acetyltransferase
PA1929	CDS			hypothetical protein
PA1930	CDS			chemotaxis transducer
PA1931	CDS			ferredoxin
PA1932	CDS			hydroxylase molybdopterin-containing subunit
PA1933	CDS			hydroxylase large subunit
PA1934	CDS			hypothetical protein
PA1937	CDS			hypothetical protein
PA1938	CDS			hypothetical protein
PA1939	CDS			hypothetical protein
PA1940	CDS			hypothetical protein
PA1941	CDS			hypothetical protein
PA1942	CDS			hypothetical protein
PA1943	CDS			hypothetical protein
PA1944	CDS			hypothetical protein
PA1945	CDS			transcriptional regulator
PA1946	CDS	rbsB		ribose ABC transporter substrate-binding protein
PA1947	CDS	rbsA		ribose transporter RbsA
PA1948	CDS	rbsC		ribose ABC transporter permease
PA1949	CDS	rbsR		ribose operon repressor RbsR
PA1950	CDS	rbsK		ribokinase
PA1951	CDS			hypothetical protein
PA1952	CDS			hypothetical protein
PA1953	CDS			hypothetical protein
PA1954	CDS			hypothetical protein
PA1955	CDS			hypothetical protein
PA1956	CDS			hypothetical protein
PA1957	CDS			hypothetical protein
PA1958	CDS			transporter
PA1959	CDS	bacA	3.6.1.27	undecaprenyl-diphosphatase
PA1960	CDS			hypothetical protein
PA1961	CDS			transcriptional regulator
PA1962	CDS	azoR2		FMN-dependent NADH-azoreductase
PA1963	CDS			hypothetical protein
PA1964	CDS			ABC-F family ATPase
PA1965	CDS			hypothetical protein
PA1966	CDS			hypothetical protein
PA1967	CDS			hypothetical protein
PA1968	CDS			hypothetical protein
PA1969	CDS			hypothetical protein
PA1970	CDS			hypothetical protein
PA1971	CDS	braZ		branched-chain amino acid transport system 3 carrier protein
PA1972	CDS			hypothetical protein
PA1973	CDS	pqqF		coenzyme PQQ synthesis protein F
